#{"t_start": 1724336006.8923006, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,831,9.99493
1.0,705,13.773273
4.0,1118,20.1281
2.0,810,24.702029
3.0,1008,30.416089
0.0,531,33.238564
1.0,723,37.119684
0.0,519,39.849297
0.0,523,42.68738
6.0,1536,51.133712
0.0,511,53.84101
2.0,825,97.044783
1.0,656,100.512617
4.0,1120,106.831226
1.0,655,110.265278
2.0,814,114.858825
1.0,628,118.151428
3.0,996,123.725288
2.0,851,128.381551
1.0,629,131.832293
2.0,826,136.380803
4.0,1089,142.448703
1.0,623,184.482093
4.0,1059,190.396814
6.0,1528,198.741101
3.0,1033,204.357185
7.0,1450,212.396771
0.0,528,214.922769
1.0,731,218.636011
1.0,716,222.468229
1.0,635,225.772055
4.0,1200,270.871448
3.0,1015,276.318573
4.0,1302,283.491182
6.0,1389,291.257714
5.0,1166,297.583478
5.0,1186,303.984975
7.0,1597,312.49411
9.0,1897,361.724015
5.0,1355,369.102893
16.0,2398,382.528659
6.0,1423,390.303388
15.0,2428,442.571144
6.0,1443,450.285094
5.0,1183,456.516914
6.0,1443,464.371958
12.0,1801,474.06554
19.0,2893,528.454121
9.0,1692,537.628649
11.0,2100,548.996803
10.0,1568,557.205915
10.0,1996,568.223137
10.0,2158,618.851496
6.0,1525,627.027575
14.0,2710,641.561527
12.0,2083,652.770836
17.0,2524,704.685019
12.0,1688,713.735466
16.0,1928,724.284043
30.0,1768,733.867908
11.0,1681,780.898201
10.0,2213,792.389436
21.0,2740,806.476062
10.0,2025,816.652945
16.0,1936,861.273214
23.0,2542,874.108151
18.0,1589,881.898294
19.0,2750,895.497087
16.0,2686,944.161761
25.0,3012,958.956747
27.0,3133,1010.248634
20.0,2898,1024.795506
17.0,2578,1038.029313
18.0,2725,1051.488736
22.0,2648,1100.037409
15.0,2360,1111.914014
28.0,3282,1128.270383
26.0,3206,1178.611942
31.0,3248,1194.925775
27.0,3699,1249.043278
25.0,3052,1264.429383
19.0,2581,1277.336452
