#{"t_start": 1724336008.4951236, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,525,6.67405
3.0,1018,12.289869
1.0,647,15.688805
2.0,751,19.883597
1.0,696,23.806001
1.0,703,27.706355
1.0,716,31.682531
2.0,839,36.38414
1.0,711,40.23179
1.0,728,44.036842
2.0,888,48.779857
0.0,543,51.544604
2.0,914,95.276209
4.0,1092,101.375206
3.0,939,106.655441
2.0,908,111.708779
2.0,769,115.827249
3.0,923,120.936254
0.0,537,123.709787
2.0,751,127.861908
4.0,1312,135.283959
1.0,697,138.962954
1.0,637,180.997872
1.0,717,184.83421
9.0,1644,193.964574
3.0,947,198.919774
6.0,1622,207.948809
7.0,1804,217.689663
2.0,791,221.865853
11.0,2045,271.766246
11.0,1948,282.568159
2.0,755,286.559341
10.0,2034,297.887805
10.0,2306,310.529572
12.0,2271,362.012396
3.0,883,366.642663
7.0,1573,375.235827
9.0,2004,386.508069
5.0,1197,392.730467
12.0,2068,442.968879
9.0,1858,453.152638
15.0,2445,466.510273
6.0,1548,474.877945
15.0,2236,525.458844
10.0,2135,537.147687
27.0,1493,545.079213
11.0,2145,556.581015
10.0,1875,566.846909
21.0,2159,617.498213
10.0,1466,625.24182
12.0,2339,637.693746
14.0,2120,649.195487
17.0,2194,699.181009
18.0,2178,710.969412
24.0,2671,725.530653
19.0,2634,777.903661
15.0,2225,789.59765
21.0,2178,800.72576
13.0,2495,813.452753
8.0,1649,856.656033
12.0,1961,866.471718
17.0,2706,880.1616
11.0,1578,887.836711
5.0,1164,893.300051
13.0,2000,938.574287
19.0,2708,951.821438
20.0,1943,961.297065
32.0,2747,1010.81944
24.0,2637,1024.086164
19.0,1787,1033.113257
12.0,2195,1044.140134
12.0,2121,1089.749751
38.0,2133,1100.405827
20.0,2863,1114.670358
17.0,2766,1162.666845
16.0,1797,1171.507159
30.0,3310,1188.123482
18.0,2971,1203.124812
21.0,2011,1248.577542
28.0,2964,1263.63355
23.0,2859,1278.002409
