#{"t_start": 1724336008.2836995, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
7.0,1718,13.96061
0.0,531,16.665969
6.0,1430,24.994931
1.0,646,28.482967
1.0,634,32.034894
1.0,645,35.472635
1.0,714,39.391967
2.0,904,44.298582
5.0,1419,52.226361
4.0,1206,97.701358
1.0,643,101.095221
0.0,506,103.827539
1.0,635,107.301215
0.0,519,110.007471
9.0,1730,119.871178
0.0,517,122.646094
1.0,721,126.562057
2.0,809,131.136422
1.0,639,134.532008
3.0,1016,140.099127
8.0,1522,187.392124
4.0,1192,193.99309
3.0,938,198.965673
4.0,1134,205.243473
1.0,632,208.570299
3.0,1000,213.814484
2.0,834,218.146409
4.0,1061,223.854228
10.0,1723,271.895901
6.0,1385,279.457792
4.0,1071,285.373448
13.0,2096,297.059552
5.0,1315,304.140415
0.0,519,306.624555
9.0,1875,355.715448
11.0,2178,367.841991
6.0,1340,375.13593
11.0,1946,385.984509
7.0,1605,394.614197
6.0,1369,440.870714
6.0,1440,448.699126
13.0,2082,460.034027
2.0,753,463.995757
16.0,1991,474.906343
9.0,1993,524.062572
13.0,1989,534.955727
23.0,2605,549.065582
7.0,1640,557.781701
9.0,1898,606.836754
30.0,1961,617.755846
12.0,2252,629.824782
21.0,2516,643.49305
17.0,2875,697.245733
21.0,2856,712.790303
26.0,2816,728.148472
8.0,1689,775.462133
17.0,2155,786.762805
26.0,3473,804.745247
21.0,2575,817.738752
17.0,2458,865.049763
24.0,2838,879.365529
28.0,1689,887.590968
24.0,2433,934.974254
19.0,2410,946.76811
25.0,2868,960.917243
13.0,1779,969.987742
25.0,2917,1020.177624
17.0,2037,1030.456019
22.0,2476,1042.929722
15.0,2122,1088.534912
16.0,2635,1101.886975
24.0,2959,1116.702934
29.0,4094,1171.610841
22.0,2777,1185.580747
20.0,2513,1198.121333
15.0,2238,1244.713722
34.0,3443,1262.248833
27.0,2750,1276.081871
