#{"t_start": 1724336008.140589, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
7.0,1302,11.66628
1.0,701,15.484907
4.0,1281,22.837114
0.0,537,25.687215
0.0,516,28.403774
2.0,914,33.535279
0.0,513,36.301974
3.0,992,41.900833
4.0,1202,48.510808
0.0,508,51.166114
0.0,523,92.677072
0.0,532,95.381488
3.0,970,100.770141
0.0,520,103.523534
3.0,1005,109.222088
1.0,715,113.129608
0.0,525,115.823007
5.0,1410,123.876676
6.0,1528,132.64414
0.0,535,135.413873
1.0,715,139.230549
3.0,862,182.653487
2.0,847,187.246437
4.0,1208,193.867916
3.0,1111,199.940422
10.0,1754,209.628462
5.0,1190,215.975765
1.0,627,219.293066
2.0,832,223.762964
3.0,960,267.424386
7.0,1735,276.892487
3.0,946,282.004369
10.0,2146,294.049853
11.0,1855,304.335279
4.0,1224,310.732791
5.0,1315,356.700787
5.0,1167,362.958549
8.0,1791,372.844589
11.0,2029,384.149992
8.0,1140,390.332524
6.0,1441,398.098706
7.0,1636,445.905927
10.0,2069,457.101021
11.0,1884,467.435458
9.0,1878,477.643062
3.0,932,482.664296
8.0,1761,530.594065
17.0,2396,543.637944
13.0,2258,555.910935
19.0,2672,609.403763
21.0,2826,624.941223
16.0,2138,636.261319
7.0,1571,644.771086
11.0,2079,693.936731
5.0,1111,699.835215
11.0,2081,711.051131
18.0,2787,726.335169
15.0,2522,778.101985
20.0,2648,792.007355
15.0,2175,803.052815
19.0,2766,817.129254
13.0,2405,864.293538
8.0,1582,872.258899
24.0,3326,888.913075
17.0,2212,935.179413
22.0,2511,947.396287
18.0,2764,960.939737
23.0,2797,1010.704896
38.0,2433,1022.883105
16.0,2455,1035.416126
17.0,2155,1046.136612
19.0,2327,1092.812603
27.0,3467,1110.305535
21.0,2940,1124.787837
26.0,3483,1176.612635
28.0,3178,1192.527795
40.0,3142,1243.741722
26.0,3417,1261.09862
15.0,2867,1275.550846
