#{"t_start": 1724336006.7523592, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,694,9.435226
2.0,820,13.862909
1.0,739,17.763572
2.0,890,22.812502
1.0,615,26.219321
4.0,1214,33.280305
2.0,826,37.941927
0.0,521,40.665374
3.0,1082,46.736989
4.0,1210,53.534557
2.0,843,96.78803
0.0,543,99.56051
2.0,801,103.988538
3.0,1023,109.709266
2.0,880,114.679049
0.0,530,117.331343
1.0,728,121.117991
5.0,1315,128.642168
1.0,716,132.551352
3.0,877,137.406239
10.0,1808,186.456511
4.0,1082,192.372179
3.0,935,197.354283
1.0,625,200.63305
0.0,541,203.351994
3.0,840,207.865654
3.0,1023,213.387279
2.0,818,217.601419
3.0,897,222.368985
0.0,541,225.017778
3.0,967,268.680285
5.0,1267,275.50584
10.0,1752,285.26795
3.0,955,290.363798
5.0,1307,297.432393
6.0,1471,305.592263
7.0,1641,353.202175
7.0,1362,360.521034
11.0,1848,370.821175
6.0,1347,378.195915
6.0,1504,386.561343
4.0,1004,391.821191
8.0,1717,439.986187
4.0,1066,445.572014
13.0,2060,456.769638
13.0,2124,468.361901
11.0,1614,477.046597
19.0,2532,529.40537
13.0,1931,539.816501
17.0,2666,554.320709
16.0,2472,567.847962
11.0,2165,618.535037
12.0,2382,631.439559
23.0,2673,645.963179
9.0,1940,694.492643
19.0,2305,707.051096
11.0,1614,715.693099
28.0,2948,731.797209
16.0,2544,783.545426
12.0,1907,793.431075
25.0,2994,808.941592
11.0,1628,816.8998
16.0,2345,863.57326
15.0,2410,875.766346
13.0,1990,885.601611
19.0,2215,896.460579
21.0,3019,946.72841
19.0,2879,960.941937
22.0,2695,1010.105737
28.0,3386,1027.225669
20.0,2335,1039.126684
16.0,2222,1050.080482
30.0,3492,1102.828771
14.0,2506,1115.215129
27.0,3444,1166.860928
20.0,2825,1180.957895
20.0,2809,1194.973089
38.0,3808,1249.697215
33.0,4129,1270.61318
