#{"t_start": 1724336008.4227064, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,829,8.539563
0.0,507,11.206244
4.0,1054,17.054709
0.0,513,19.791793
0.0,531,22.564856
0.0,508,25.3492
3.0,946,30.618833
1.0,712,34.553746
1.0,635,37.952583
0.0,533,40.748613
1.0,648,44.04442
1.0,700,47.729306
0.0,504,50.346187
0.0,527,53.128846
10.0,1812,102.207751
2.0,914,107.257051
3.0,926,112.429698
4.0,1204,119.091166
3.0,990,124.687959
0.0,529,127.466713
1.0,652,130.927195
0.0,525,133.630017
1.0,728,137.512532
2.0,914,181.099953
5.0,1399,189.113501
6.0,1470,197.051165
6.0,1605,205.988895
5.0,1419,213.628011
3.0,1027,219.137051
2.0,817,223.510925
5.0,1414,269.759214
4.0,988,275.004669
3.0,1092,280.965691
5.0,1338,288.381078
5.0,1459,296.283522
9.0,1339,303.516499
7.0,1806,352.176725
7.0,1566,360.712413
8.0,1842,370.901382
3.0,885,375.495788
5.0,1172,381.960247
11.0,1687,391.162501
2.0,915,395.973709
4.0,1081,440.518458
11.0,2350,453.386044
9.0,2035,464.501751
6.0,1296,471.41926
5.0,1273,478.198749
10.0,2167,528.573296
15.0,1594,537.081108
10.0,1886,547.209079
23.0,2377,560.094582
8.0,1695,608.052905
9.0,1803,618.027874
17.0,2330,630.531081
9.0,1867,640.49733
23.0,2748,693.603099
16.0,1763,703.118656
16.0,2381,716.080571
24.0,2916,732.077106
13.0,1994,780.762416
12.0,1836,790.229505
20.0,2574,803.342902
18.0,2503,815.993928
26.0,3266,867.577711
18.0,1996,877.434681
18.0,2809,891.413533
26.0,3343,943.323016
19.0,2254,954.268637
24.0,2611,967.253571
14.0,2424,1015.010319
17.0,2234,1026.269817
19.0,2496,1039.05839
12.0,1938,1048.563935
31.0,2800,1097.847567
30.0,3478,1115.240861
9.0,1990,1125.043154
31.0,2901,1173.913593
29.0,3691,1192.509775
38.0,2687,1241.435366
19.0,2810,1255.472042
27.0,2543,1268.321876
