#{"t_start": 1724336007.034291, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,726,9.226892
0.0,530,11.872389
1.0,648,15.319245
0.0,529,18.0886
3.0,1092,24.332721
5.0,1321,32.032058
0.0,512,34.750973
2.0,806,39.225019
3.0,1100,45.293688
0.0,520,47.890473
0.0,520,50.552453
1.0,632,53.991065
1.0,637,96.05295
0.0,520,98.716493
11.0,1952,109.970071
2.0,817,114.540532
4.0,1116,120.686234
5.0,1410,128.769447
1.0,609,132.071903
1.0,637,135.51315
1.0,641,138.857104
1.0,721,181.357322
3.0,943,186.554942
6.0,1630,195.608716
3.0,945,200.646181
10.0,1771,210.494704
4.0,1139,216.435482
3.0,895,221.166162
4.0,1081,226.88171
6.0,1448,273.292431
8.0,1756,283.095173
8.0,1868,293.455725
5.0,1275,300.407631
4.0,1088,306.181607
11.0,2355,357.871375
9.0,2055,369.197967
4.0,1071,374.893435
6.0,1387,382.439162
8.0,1764,392.178745
6.0,1386,399.649182
7.0,1712,447.956309
8.0,1732,457.29255
17.0,2236,469.603923
14.0,2214,481.775946
17.0,2398,533.32475
14.0,2115,544.660937
11.0,2104,556.050162
30.0,1985,566.877637
14.0,2125,617.294561
18.0,2622,631.498476
26.0,1994,642.186062
9.0,1803,651.811044
17.0,2099,701.278968
13.0,1909,711.48104
13.0,1973,722.226864
24.0,2868,737.769773
25.0,2970,791.658111
6.0,1319,798.19478
19.0,2510,811.156982
11.0,2086,856.487803
25.0,2484,869.050121
25.0,2896,883.512377
25.0,2723,932.382454
23.0,2642,945.425572
25.0,2731,958.853396
21.0,2260,970.189196
18.0,2938,1020.555882
27.0,2194,1031.672787
24.0,3205,1047.994444
21.0,2551,1095.849834
15.0,2245,1107.186981
13.0,2378,1118.830554
20.0,2540,1165.83299
23.0,3603,1183.951615
20.0,2441,1196.04633
26.0,3251,1247.830839
54.0,3892,1267.704805
12.0,2190,1278.745821
