#{"t_start": 1724336008.5658464, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,644,7.299258
4.0,1298,14.572904
0.0,519,17.259554
8.0,1510,26.129391
4.0,1214,33.119787
0.0,516,35.930407
6.0,1663,45.355369
0.0,524,48.010458
2.0,809,52.443684
0.0,515,93.838747
2.0,742,97.960904
2.0,826,102.446898
9.0,1640,111.833079
5.0,1406,119.769541
2.0,824,124.309588
3.0,926,129.497796
0.0,524,132.302454
0.0,517,135.019001
4.0,1220,180.362297
3.0,979,185.754145
2.0,761,189.819041
8.0,1438,197.558706
5.0,1306,204.838948
3.0,1020,210.352086
3.0,1021,215.732949
5.0,1255,222.728297
4.0,1137,267.348348
8.0,1587,275.941586
5.0,1170,282.366965
16.0,1955,293.325959
5.0,1174,299.653
7.0,1573,308.10188
8.0,1789,356.746785
12.0,2083,368.336346
8.0,1677,377.545706
13.0,1545,386.0627
8.0,1683,395.162028
10.0,1658,443.098257
12.0,1821,452.960122
18.0,2460,466.407603
6.0,1452,474.283867
8.0,1848,522.690408
4.0,1061,528.353982
7.0,1520,536.449509
10.0,1511,544.432342
18.0,2129,555.803129
7.0,1550,564.196608
11.0,2281,615.630039
10.0,2005,626.448401
9.0,1709,635.308299
10.0,1463,643.142722
24.0,2754,696.241521
8.0,1694,705.344167
17.0,2603,719.566114
14.0,2618,733.875687
14.0,2205,783.782923
14.0,1943,793.762708
11.0,1979,803.725791
6.0,1460,811.033887
7.0,1657,854.208046
27.0,1914,863.658477
13.0,2062,874.060991
19.0,2659,887.319567
14.0,2586,935.55642
22.0,2182,946.033763
31.0,3563,963.755132
9.0,1683,1007.665812
22.0,2804,1021.767424
20.0,2924,1036.785932
14.0,2033,1046.839404
13.0,2092,1092.246011
28.0,2550,1105.061372
11.0,1639,1113.044345
32.0,3191,1163.28826
25.0,3147,1179.088457
23.0,2889,1193.574011
20.0,3048,1244.285494
27.0,2718,1257.975192
24.0,3181,1274.011569
