#{"t_start": 1724336008.7809753, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,499,6.255813
2.0,823,10.710111
1.0,702,14.440168
1.0,633,17.826414
3.0,1014,23.528216
0.0,515,26.359551
1.0,708,30.18394
0.0,529,32.95958
0.0,536,35.763143
0.0,517,38.35274
0.0,522,41.173013
0.0,521,43.831835
0.0,507,46.462687
1.0,636,49.75875
0.0,529,52.578222
6.0,1602,100.495788
1.0,652,103.932672
6.0,1502,112.591649
6.0,1418,120.505067
2.0,833,125.028137
1.0,692,128.84347
4.0,1047,134.749233
1.0,704,138.542351
5.0,1325,184.741757
4.0,994,190.209368
3.0,871,194.843134
5.0,1246,201.732048
5.0,1327,209.0648
6.0,1611,217.74918
2.0,760,221.853868
0.0,516,224.432772
6.0,1517,271.304995
5.0,1335,278.64132
4.0,1147,284.948109
2.0,820,289.289163
5.0,1189,295.681193
5.0,1253,302.529057
5.0,1270,309.194619
4.0,1291,355.035677
8.0,1203,361.448382
4.0,1065,367.198723
8.0,1701,376.559128
7.0,1525,384.965914
4.0,1204,391.360256
7.0,1626,439.147866
8.0,1920,449.654265
11.0,1915,460.075194
6.0,1384,467.460866
14.0,2121,479.033818
13.0,2284,529.985403
7.0,1470,537.808384
12.0,1219,544.187128
10.0,2081,555.449859
16.0,2446,607.7488
17.0,2102,619.299304
13.0,2534,632.933244
26.0,3111,649.870419
18.0,2516,701.687849
19.0,2424,714.788036
14.0,2478,728.20039
10.0,2147,777.972134
16.0,2240,789.70101
35.0,2638,803.250185
7.0,1626,811.526192
21.0,2553,859.22628
24.0,3017,874.474667
13.0,2261,885.598708
20.0,1474,892.680786
21.0,2236,939.181072
15.0,2426,951.001989
9.0,1851,959.967781
27.0,3372,1012.661461
17.0,2502,1025.283633
13.0,2583,1038.393129
17.0,2686,1086.956525
14.0,2642,1100.319736
14.0,2206,1111.328431
27.0,3077,1126.786448
23.0,3402,1178.133337
23.0,3018,1193.288468
20.0,2281,1240.174996
24.0,2383,1252.063397
26.0,2582,1265.0721
18.0,2261,1276.378231
