#{"t_start": 1724336007.9208965, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1020,10.045293
0.0,527,12.768484
0.0,533,15.468071
1.0,708,19.353528
0.0,541,22.126422
1.0,651,25.635134
0.0,524,28.425425
1.0,641,31.891701
1.0,639,35.415748
3.0,1015,41.166152
0.0,536,43.811548
0.0,532,46.506332
2.0,756,50.582634
2.0,918,94.355724
0.0,524,97.059695
0.0,509,99.794633
3.0,1022,105.46911
4.0,1217,112.272657
1.0,695,116.068595
2.0,910,121.007623
9.0,1542,129.856613
3.0,933,135.069549
2.0,834,139.525641
2.0,907,183.138131
2.0,826,187.723492
6.0,1606,196.531493
7.0,1815,206.611415
6.0,1510,214.741482
1.0,727,218.500442
6.0,1359,225.95049
4.0,1127,270.702179
5.0,1254,277.436807
6.0,1413,285.30516
6.0,1594,294.149783
2.0,768,298.171738
5.0,1402,305.830497
11.0,1661,353.617138
6.0,1266,360.465631
12.0,2030,371.774205
8.0,1745,381.341609
3.0,949,386.533915
11.0,1858,396.701558
12.0,1824,445.499733
10.0,1494,453.522221
7.0,1497,461.525293
12.0,2363,474.486293
6.0,1369,481.884643
5.0,1118,526.136914
17.0,2542,539.972809
7.0,1631,548.734462
5.0,1287,555.377411
10.0,1585,563.984262
10.0,2155,614.660994
12.0,1626,623.436793
16.0,2486,636.756519
10.0,2050,647.808085
16.0,2388,698.88535
27.0,3144,716.061418
20.0,2402,729.101435
20.0,2622,781.425313
18.0,2396,793.913343
12.0,2392,806.137515
23.0,2893,855.70249
12.0,2101,866.252467
19.0,2736,880.135306
14.0,2109,890.546097
20.0,2392,937.695764
18.0,2844,951.618161
14.0,2307,962.893445
17.0,2382,1010.454011
33.0,3836,1030.067345
11.0,1964,1039.971359
28.0,3205,1091.119149
20.0,2892,1105.695384
21.0,2238,1116.716316
18.0,2545,1163.627688
14.0,2482,1175.960573
27.0,3497,1193.564939
23.0,2733,1242.700658
26.0,3048,1258.099515
18.0,2333,1269.841209
