#{"t_start": 1724336008.8498018, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,851,8.284215
1.0,636,11.665307
0.0,528,14.344508
0.0,517,17.119325
0.0,511,19.88224
0.0,527,22.658359
0.0,527,25.504303
0.0,531,28.220703
0.0,516,31.004354
4.0,1304,38.378748
3.0,999,43.986716
1.0,636,47.361655
0.0,532,50.033978
1.0,726,92.636082
2.0,835,97.188957
3.0,889,102.108456
2.0,819,106.639848
5.0,1484,115.022399
1.0,633,118.384112
1.0,633,121.750831
2.0,906,126.715426
7.0,1726,136.642456
1.0,706,140.374933
3.0,951,184.293988
5.0,1262,191.292311
14.0,1756,200.988462
2.0,822,205.369823
3.0,967,210.484808
9.0,2184,222.587954
3.0,1020,266.604399
2.0,892,271.246375
4.0,1059,277.036981
10.0,1876,287.536022
12.0,2049,299.007185
6.0,1514,307.258274
10.0,2048,357.428541
4.0,998,362.657925
13.0,2168,374.608247
7.0,1673,383.885988
13.0,2001,394.782764
11.0,2242,446.017046
5.0,1162,452.183271
4.0,1239,458.708473
14.0,2296,471.246131
7.0,1587,479.779105
5.0,1352,525.481294
9.0,2116,537.085414
8.0,1680,546.015666
14.0,2110,557.435665
10.0,1947,606.865888
15.0,2267,619.374905
6.0,1357,626.499626
15.0,2137,637.925464
12.0,2173,649.666056
30.0,2994,704.210943
6.0,1257,710.759099
21.0,2673,725.334252
21.0,2759,778.468018
15.0,2250,790.215914
21.0,3070,806.051781
22.0,2105,816.530774
12.0,2313,863.097834
25.0,2958,878.088899
12.0,1843,886.985336
14.0,2294,933.73472
20.0,2890,947.88817
10.0,1963,957.424749
24.0,2951,1007.84554
22.0,3175,1023.980623
12.0,1935,1033.764658
18.0,2566,1046.623765
22.0,2571,1094.497039
31.0,3656,1112.886352
14.0,2502,1125.241029
29.0,3247,1175.799518
35.0,2281,1187.212059
23.0,2752,1201.030228
27.0,3523,1254.166438
14.0,2611,1267.268314
