#{"t_start": 1724336012.821042, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,527,7.962356
0.0,527,10.568704
3.0,1014,16.217662
1.0,701,19.963224
2.0,877,24.996825
3.0,1094,31.104731
0.0,528,33.875962
0.0,517,36.59422
2.0,821,41.103954
1.0,628,44.431397
0.0,536,47.136261
1.0,727,51.152929
2.0,802,55.661331
1.0,647,59.160393
2.0,777,63.650999
0.0,528,66.54022
1.0,688,70.38028
1.0,653,73.961803
3.0,1026,79.750243
0.0,524,82.651477
4.0,1232,89.640841
0.0,533,92.472374
0.0,532,95.312996
1.0,708,99.261053
2.0,729,103.500107
0.0,540,106.298834
0.0,505,109.09257
1.0,720,113.124431
2.0,768,117.422288
4.0,1089,123.923736
3.0,937,129.360159
0.0,527,132.162493
1.0,704,135.887021
0.0,540,138.800025
0.0,528,141.606572
0.0,521,144.415274
0.0,540,147.277143
1.0,606,150.842733
0.0,496,153.643758
2.0,834,158.395875
0.0,535,161.321155
3.0,885,166.389524
0.0,505,169.279627
0.0,540,172.24362
0.0,515,175.199174
0.0,516,178.038682
1.0,708,181.933077
2.0,767,186.218604
1.0,716,190.19815
0.0,529,192.999266
0.0,532,195.866815
1.0,700,199.835143
1.0,645,203.282988
2.0,914,208.529409
3.0,866,213.430454
0.0,527,216.267152
3.0,1030,222.129859
1.0,620,225.694464
1.0,636,229.240674
0.0,520,232.134704
2.0,815,236.766033
1.0,632,240.37644
0.0,535,243.217988
0.0,543,246.074423
0.0,523,248.913973
1.0,686,252.891092
2.0,822,257.423099
0.0,515,260.132642
0.0,502,262.881309
2.0,814,267.586757
0.0,533,270.342953
1.0,610,273.846228
0.0,535,276.672006
2.0,818,281.412331
1.0,733,285.371536
3.0,1022,291.018239
4.0,1130,297.29004
0.0,512,300.074447
1.0,722,304.035899
3.0,1104,310.321346
0.0,535,313.147713
0.0,519,315.856127
2.0,816,320.381146
1.0,643,323.970814
0.0,507,326.739938
1.0,699,330.619551
3.0,868,335.575096
2.0,826,340.340225
1.0,641,343.837356
0.0,531,346.650738
2.0,799,350.974874
2.0,818,355.520361
0.0,520,358.338708
0.0,527,361.06203
0.0,509,363.809759
4.0,1214,370.57666
0.0,531,373.354698
4.0,1208,380.196039
3.0,976,385.733532
4.0,1218,392.78698
2.0,920,398.105445
2.0,921,403.230307
1.0,629,406.764498
0.0,516,409.587519
10.0,1834,420.547069
0.0,532,423.431719
3.0,875,428.456131
0.0,523,431.316412
1.0,641,434.752861
1.0,637,438.193771
4.0,1206,445.063306
2.0,830,449.714725
0.0,521,452.563907
7.0,1023,458.304846
0.0,531,461.248529
0.0,514,463.867339
0.0,527,466.511261
2.0,830,470.870638
5.0,1350,478.686243
0.0,515,481.582925
4.0,1224,488.785957
3.0,939,494.153977
0.0,517,496.878132
4.0,1208,503.95443
2.0,753,508.2455
0.0,537,511.130911
2.0,833,515.707294
4.0,1196,522.350913
0.0,516,525.164296
0.0,505,527.841661
2.0,829,532.373143
0.0,522,535.184172
0.0,525,537.901348
2.0,775,542.040751
6.0,1596,551.243022
3.0,1017,556.905602
0.0,531,559.682558
5.0,1398,568.00323
0.0,524,570.820713
0.0,520,573.69216
2.0,771,578.024059
0.0,507,580.739895
5.0,1332,588.523016
1.0,655,591.870849
2.0,752,596.132691
11.0,1091,602.455102
1.0,649,605.902043
7.0,1314,613.515489
0.0,537,616.295636
1.0,708,620.135941
0.0,528,622.953463
0.0,520,625.7533
0.0,541,628.439876
9.0,1624,637.739786
0.0,532,640.365202
7.0,1027,646.177942
5.0,1403,654.512607
0.0,540,657.312829
0.0,539,660.133401
3.0,1006,665.938593
0.0,528,668.632451
1.0,618,671.965064
2.0,888,676.977716
9.0,1632,686.352014
5.0,1403,694.381531
2.0,751,698.353279
5.0,1410,706.419299
9.0,1636,715.878883
0.0,517,718.63505
0.0,525,721.422724
0.0,537,724.232668
11.0,1958,735.511582
9.0,1620,744.886821
9.0,1640,754.132019
9.0,1724,763.814213
2.0,836,768.433233
