#{"t_start": 1724336012.37575, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,527,8.398967
3.0,926,13.503657
5.0,1338,21.222982
0.0,535,23.952241
0.0,525,26.739944
0.0,537,29.549517
0.0,516,32.322187
0.0,516,35.062009
2.0,831,39.577094
4.0,1128,45.868078
5.0,1426,54.0556
4.0,1271,61.51914
0.0,513,64.397101
0.0,524,67.31637
0.0,507,70.016115
0.0,531,72.932363
2.0,837,77.569715
1.0,631,81.121106
0.0,524,83.987251
3.0,1104,90.27592
1.0,723,94.311234
1.0,625,97.826661
0.0,536,100.642979
0.0,497,103.395621
0.0,528,106.185629
0.0,508,109.02591
0.0,506,111.868865
1.0,698,115.896443
1.0,630,119.509696
3.0,937,124.957871
0.0,514,127.798696
1.0,649,131.33282
1.0,704,134.976195
1.0,631,138.628551
2.0,821,143.282651
0.0,517,146.068491
0.0,520,148.940391
2.0,766,153.259812
0.0,527,156.078206
1.0,708,160.231342
1.0,647,163.778158
0.0,527,166.615837
2.0,767,171.046401
3.0,877,176.279224
3.0,1002,182.082767
0.0,516,184.92688
2.0,919,190.133628
0.0,539,192.957704
5.0,1290,200.54535
2.0,818,205.213923
0.0,531,208.060335
0.0,543,210.916956
2.0,819,215.424003
0.0,508,218.213175
1.0,620,221.67339
2.0,922,227.007662
3.0,899,232.097294
2.0,914,237.261015
5.0,1167,244.125909
0.0,541,246.971255
2.0,753,251.270517
0.0,521,254.171833
3.0,1102,260.470044
1.0,633,263.988508
1.0,712,267.947933
0.0,540,270.754709
2.0,821,275.444138
1.0,653,278.96874
0.0,508,281.846257
1.0,660,285.309503
0.0,540,288.059223
3.0,875,292.939597
4.0,1220,299.843441
0.0,519,302.60737
1.0,703,306.477177
1.0,711,310.383196
3.0,992,316.19208
4.0,1204,323.245417
0.0,527,326.04762
2.0,924,331.187874
0.0,509,333.997182
0.0,524,336.801669
0.0,524,339.625848
0.0,533,342.374494
3.0,1001,348.071196
0.0,508,350.688144
3.0,934,355.907007
6.0,1678,365.811607
0.0,513,368.48461
0.0,532,371.148808
4.0,1210,378.000457
0.0,536,380.709317
2.0,816,385.109151
3.0,871,390.099739
1.0,632,393.546592
0.0,515,396.462554
0.0,541,399.317167
0.0,532,402.075739
0.0,539,404.946169
2.0,772,409.23387
0.0,525,412.094206
0.0,541,414.957993
0.0,525,417.826041
2.0,806,422.480804
0.0,523,425.388399
0.0,519,428.294846
6.0,1484,436.98314
3.0,1008,442.781175
0.0,503,445.449943
0.0,516,448.222997
0.0,528,450.971934
3.0,1022,456.738673
2.0,833,461.429177
0.0,514,464.088777
8.0,1418,471.942015
2.0,809,476.51385
0.0,522,479.428324
1.0,643,483.058931
0.0,530,485.848556
0.0,532,488.78741
3.0,1107,495.185773
0.0,528,497.970836
0.0,543,500.827883
3.0,1020,506.650414
0.0,540,509.572354
2.0,818,514.097084
0.0,536,516.853725
2.0,814,521.111075
0.0,533,523.898557
3.0,1013,529.542166
0.0,529,532.315581
0.0,526,535.134767
2.0,822,539.665221
3.0,1000,545.167992
5.0,1420,553.330929
0.0,519,556.013487
2.0,909,561.103651
0.0,519,563.95422
3.0,996,569.731389
2.0,826,574.449698
0.0,524,577.301674
2.0,791,581.824113
2.0,809,586.486409
2.0,824,590.945498
0.0,538,593.752187
11.0,1111,600.099469
1.0,697,603.98094
3.0,1022,609.7206
0.0,527,612.514575
0.0,531,615.271264
0.0,520,618.018572
5.0,1423,626.187601
6.0,1554,634.966708
2.0,829,639.391281
11.0,1107,645.587243
3.0,976,651.148196
5.0,1406,659.449479
0.0,535,662.253365
1.0,727,666.221183
4.0,1219,673.03715
0.0,527,675.848274
0.0,516,678.55583
0.0,532,681.161874
0.0,524,684.074214
9.0,1640,693.500041
9.0,1620,702.729744
6.0,1477,711.198422
0.0,516,713.996008
9.0,1624,723.434195
10.0,1742,733.45669
1.0,647,736.992892
2.0,827,741.543884
1.0,640,744.978951
9.0,1640,754.212903
6.0,1627,763.169637
2.0,755,767.360506
