#{"t_start": 1724336012.6739306, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,906,10.41959
0.0,517,13.082018
2.0,827,17.67434
1.0,697,21.50267
0.0,524,24.24842
0.0,520,26.977466
1.0,704,30.867955
0.0,524,33.5687
0.0,524,36.268665
4.0,1092,42.382109
0.0,517,45.03008
0.0,520,47.756397
0.0,535,50.573627
0.0,528,53.358316
1.0,728,57.332318
0.0,515,60.156743
1.0,653,63.825873
0.0,535,66.763578
2.0,810,71.426063
0.0,527,74.268723
1.0,629,77.720704
0.0,531,80.578139
3.0,1014,86.539418
5.0,1300,94.022539
0.0,522,96.79965
3.0,1001,102.698918
5.0,1191,109.751307
0.0,531,112.645056
1.0,645,116.202371
2.0,729,120.443067
2.0,757,124.797463
2.0,745,129.04637
0.0,525,131.869661
3.0,919,137.040155
0.0,517,139.853293
2.0,773,144.115106
2.0,751,148.490468
1.0,636,152.081098
2.0,802,156.765378
0.0,540,159.69465
3.0,1087,166.055341
2.0,803,170.807191
2.0,765,175.252107
0.0,543,178.101865
1.0,704,181.989233
0.0,516,184.835231
0.0,515,187.683529
5.0,1282,195.230283
2.0,757,199.550247
0.0,543,202.331832
0.0,520,205.204003
1.0,641,208.746246
0.0,519,211.54286
7.0,1682,221.476843
3.0,1116,227.999415
3.0,1104,234.395443
2.0,761,238.761691
0.0,531,241.617804
0.0,543,244.481889
0.0,536,247.259451
1.0,693,251.291085
0.0,527,254.181754
3.0,1014,259.960153
0.0,517,262.731808
0.0,507,265.577532
3.0,1106,271.852539
2.0,798,276.506944
1.0,628,280.054297
9.0,1620,289.394257
0.0,543,292.234399
3.0,1005,297.77861
2.0,834,302.428779
1.0,699,306.297945
1.0,693,310.187905
3.0,1073,316.478975
2.0,804,321.015781
1.0,632,324.565977
0.0,525,327.414336
2.0,811,332.004427
2.0,819,336.64424
3.0,937,341.994491
1.0,655,345.513997
2.0,829,349.931794
1.0,628,353.381042
0.0,529,356.167249
4.0,1228,363.1677
1.0,710,367.053569
1.0,693,370.71683
0.0,523,373.493875
0.0,525,376.24115
2.0,837,380.705448
5.0,1380,388.638346
4.0,1294,396.332117
0.0,543,399.168232
2.0,843,403.889644
0.0,536,406.731861
0.0,528,409.564783
0.0,543,412.421439
0.0,515,415.273289
0.0,523,418.164891
1.0,621,421.646328
3.0,880,426.751709
0.0,543,429.668508
2.0,773,433.874698
1.0,639,437.278494
0.0,532,440.068811
4.0,1129,446.516089
2.0,759,450.717863
0.0,528,453.523616
2.0,925,458.652958
0.0,532,461.605713
1.0,610,464.819773
0.0,531,467.481525
3.0,926,472.473172
1.0,623,475.874176
0.0,542,478.781546
0.0,524,481.677078
1.0,640,485.216657
0.0,525,488.154288
3.0,1010,494.074611
2.0,812,498.733284
4.0,1306,506.305346
1.0,711,510.428952
4.0,1202,517.240679
2.0,815,521.461898
3.0,1015,527.236981
2.0,807,531.674036
0.0,534,534.492721
0.0,531,537.259042
0.0,517,540.075733
3.0,946,545.207407
2.0,807,549.614853
2.0,822,554.165382
2.0,755,558.320685
0.0,527,561.087293
1.0,633,564.66279
4.0,1204,571.716802
4.0,1217,578.811083
0.0,533,581.597456
3.0,1002,587.441136
5.0,1434,595.641452
5.0,1402,603.881958
0.0,520,606.635937
0.0,539,609.432078
0.0,529,612.226842
2.0,813,616.788179
3.0,889,621.709349
1.0,635,625.207133
9.0,1335,632.690735
1.0,644,636.007243
0.0,529,638.700623
0.0,527,641.400935
0.0,537,644.275925
3.0,865,649.170619
0.0,543,652.098428
2.0,747,656.196794
9.0,1628,665.697298
2.0,873,670.560394
7.0,1005,676.351956
9.0,1620,685.686374
1.0,628,689.065774
0.0,520,691.883661
12.0,1294,699.098358
5.0,1272,706.340963
9.0,1636,715.790051
0.0,528,718.511889
0.0,529,721.294058
0.0,521,724.120332
9.0,1636,733.438665
1.0,652,736.946822
9.0,1624,746.276459
1.0,717,750.045399
1.0,725,753.948278
11.0,1940,764.94151
0.0,541,767.751092
