#{"t_start": 1724336012.7485323, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
5.0,1339,12.715453
0.0,537,15.462376
1.0,692,19.204113
0.0,513,21.927952
4.0,1214,28.876987
6.0,1536,37.666049
1.0,720,41.628797
2.0,814,46.036001
1.0,651,49.482642
0.0,527,52.277493
1.0,624,55.685183
1.0,639,59.182191
1.0,637,62.842283
0.0,536,65.756879
2.0,818,70.321651
2.0,816,74.978954
3.0,1014,80.843462
3.0,1018,86.77606
0.0,519,89.513391
1.0,637,93.044618
1.0,641,96.557094
0.0,523,99.36364
1.0,639,102.901108
5.0,1207,109.954673
11.0,1099,116.378031
3.0,867,121.420456
1.0,649,125.032842
2.0,769,129.334412
0.0,543,132.137461
1.0,698,135.810997
5.0,1326,143.738331
4.0,1106,150.166959
2.0,733,154.401798
0.0,535,157.296538
0.0,543,160.24463
0.0,535,163.08691
2.0,761,167.425045
3.0,889,172.640495
3.0,1008,178.636714
1.0,708,182.51373
0.0,515,185.3692
0.0,516,188.144755
5.0,1282,195.725785
4.0,1086,202.068003
3.0,1116,208.482997
2.0,817,213.117134
0.0,514,215.924156
0.0,540,218.754336
0.0,531,221.489426
2.0,910,226.826683
0.0,527,229.678808
0.0,539,232.532707
3.0,943,237.967417
1.0,643,241.499007
0.0,525,244.37086
4.0,1102,250.763904
8.0,1502,259.634882
1.0,638,263.173801
3.0,1008,269.00016
0.0,518,271.783977
1.0,636,275.317919
1.0,714,279.276949
0.0,517,282.168909
3.0,1102,288.311117
0.0,527,291.055717
2.0,818,295.561009
1.0,613,298.917564
0.0,519,301.621328
1.0,704,305.607071
1.0,623,309.017979
0.0,506,311.737132
0.0,532,314.522166
3.0,928,319.854408
1.0,647,323.444233
0.0,523,326.205753
0.0,525,329.040218
2.0,807,333.710762
0.0,512,336.51287
2.0,829,341.221397
0.0,532,344.022145
0.0,508,346.772962
2.0,821,351.215038
1.0,723,355.048355
5.0,1332,362.707527
1.0,714,366.605021
0.0,516,369.210225
0.0,515,371.897607
0.0,515,374.70338
3.0,941,379.809581
0.0,506,382.400071
1.0,622,385.743526
5.0,1248,392.912823
0.0,523,395.821389
0.0,521,398.67314
3.0,961,404.09326
9.0,1644,413.773832
0.0,536,416.649233
0.0,521,419.431353
3.0,1010,425.393505
0.0,519,428.279025
1.0,655,431.829615
6.0,1533,440.552427
1.0,703,444.410421
2.0,810,448.966769
0.0,531,451.760586
1.0,702,455.560282
3.0,1002,461.445716
0.0,519,464.14007
3.0,1006,469.584217
2.0,825,474.055275
0.0,540,476.901691
0.0,518,479.831612
0.0,515,482.697445
0.0,518,485.525208
0.0,521,488.471554
2.0,824,493.090287
0.0,517,495.912076
0.0,519,498.75127
4.0,1310,506.326397
3.0,1024,512.245071
0.0,495,514.905925
0.0,533,517.625022
3.0,1004,523.108804
1.0,627,526.538432
2.0,807,530.951449
0.0,527,533.785164
3.0,869,538.682617
4.0,1205,545.475213
4.0,1065,551.399311
3.0,941,556.550987
2.0,765,560.706711
5.0,1203,567.699735
2.0,800,572.361049
0.0,540,575.294932
1.0,620,578.789691
5.0,1398,587.043487
2.0,824,591.459983
0.0,538,594.326003
4.0,1300,601.895076
0.0,536,604.644418
0.0,523,607.418106
0.0,543,610.213802
4.0,1294,617.655708
2.0,829,622.225336
1.0,643,625.693419
0.0,531,628.391495
0.0,528,631.1082
11.0,1095,637.242024
1.0,655,640.55904
0.0,527,643.396405
7.0,1015,649.184258
2.0,763,653.559302
0.0,527,656.319397
6.0,1626,665.733541
4.0,1296,673.081916
4.0,1280,680.268833
0.0,537,683.090223
9.0,1632,692.549562
1.0,708,696.300889
0.0,528,698.990278
2.0,834,703.5044
7.0,1682,713.245701
0.0,540,716.043178
0.0,540,718.801348
0.0,517,721.547658
0.0,523,724.3588
11.0,1946,735.635494
9.0,1616,745.010023
0.0,520,747.70639
5.0,1449,755.715849
3.0,1019,761.198627
0.0,525,764.019311
0.0,541,766.840295
