#{"t_start": 1724336013.4833674, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,834,9.069695
4.0,1212,15.858999
0.0,539,18.577487
1.0,708,22.466959
0.0,517,25.242937
1.0,623,28.657462
0.0,506,31.348568
0.0,515,34.096629
1.0,619,37.429535
0.0,526,40.166714
2.0,886,45.056857
0.0,520,47.767283
0.0,521,50.637113
1.0,619,54.065327
1.0,719,57.96437
0.0,528,60.873466
1.0,710,64.936178
3.0,919,70.237355
2.0,763,74.543062
0.0,516,77.258397
0.0,540,80.141779
2.0,808,84.767946
2.0,771,88.953378
0.0,539,91.784241
0.0,520,94.6274
1.0,695,98.533943
1.0,626,102.043457
1.0,719,106.054988
2.0,739,110.364136
5.0,1281,118.006491
2.0,739,122.228081
2.0,807,126.946617
0.0,533,129.801719
3.0,915,134.875613
4.0,1149,141.618959
3.0,1015,147.485335
1.0,654,151.138123
2.0,803,155.764421
0.0,520,158.701931
0.0,525,161.583143
2.0,757,165.885019
2.0,747,170.331024
0.0,519,173.296751
0.0,529,176.175403
3.0,1021,182.015072
0.0,527,184.880739
0.0,527,187.595213
2.0,747,191.806397
0.0,523,194.65828
0.0,531,197.549148
0.0,540,200.338784
1.0,628,203.870784
2.0,830,208.606085
0.0,516,211.367618
1.0,704,215.303899
0.0,529,218.137941
1.0,627,221.600582
2.0,731,225.831309
1.0,640,229.373564
3.0,1028,235.330768
0.0,503,238.156928
0.0,536,240.979853
0.0,515,243.87391
0.0,526,246.624196
2.0,890,251.869295
0.0,521,254.645916
2.0,810,259.164111
0.0,494,261.936832
3.0,927,267.21777
0.0,535,269.989144
1.0,630,273.498057
1.0,719,277.451416
0.0,535,280.371529
9.0,1526,289.141833
0.0,525,291.964152
3.0,1005,297.615916
3.0,935,302.936006
1.0,700,306.699441
0.0,521,309.534962
3.0,916,314.790518
2.0,813,319.377722
2.0,906,324.659972
5.0,1326,332.329752
1.0,682,336.296546
3.0,1029,342.136047
1.0,637,345.634254
3.0,1007,351.216454
3.0,947,356.438349
0.0,533,359.216999
6.0,1610,368.4857
3.0,945,373.686183
6.0,1607,382.834588
4.0,1131,389.408015
1.0,644,392.872673
0.0,527,395.842643
1.0,635,399.331283
0.0,528,402.125108
0.0,511,404.943644
0.0,536,407.776223
5.0,1407,416.151428
0.0,504,418.920601
1.0,631,422.473228
0.0,542,425.382695
2.0,756,429.725462
0.0,519,432.519364
4.0,1230,439.4415
1.0,702,443.275418
1.0,644,446.775015
2.0,912,452.01834
0.0,527,454.759071
0.0,515,457.593532
2.0,746,461.903063
1.0,632,465.182425
1.0,719,468.936968
3.0,1006,474.435111
1.0,728,478.553661
8.0,1514,487.655427
0.0,509,490.471149
1.0,647,493.991976
0.0,523,496.751697
7.0,1023,502.560767
4.0,1177,509.473258
2.0,802,513.983107
0.0,539,516.698142
5.0,1398,524.702554
0.0,520,527.427257
2.0,817,531.956703
0.0,527,534.768806
0.0,521,537.531762
4.0,1172,544.034354
2.0,795,548.420367
0.0,519,551.263322
2.0,813,555.700507
5.0,1510,564.541165
0.0,516,567.194544
0.0,520,570.066425
4.0,1201,577.195427
3.0,1015,582.928125
0.0,520,585.731657
4.0,1188,592.543561
9.0,1315,600.279695
1.0,705,604.09084
1.0,698,608.03765
0.0,541,610.801297
2.0,825,615.395344
6.0,1610,624.720562
0.0,524,627.405512
9.0,1640,636.720689
2.0,818,641.139622
4.0,1232,648.134197
9.0,1644,657.833066
0.0,527,660.648886
0.0,519,663.339629
1.0,648,666.848263
2.0,802,671.270072
11.0,1107,677.466944
0.0,524,680.069908
0.0,529,682.992159
9.0,1616,692.41268
2.0,767,696.393435
3.0,869,701.254874
6.0,1333,708.804019
9.0,1632,718.266958
9.0,1632,727.555788
1.0,632,730.999221
9.0,1632,740.4958
3.0,955,745.734609
9.0,1632,754.920082
4.0,1297,761.970959
