#{"t_start": 1724336012.893924, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,700,8.925738
1.0,716,12.688959
5.0,1340,20.229081
4.0,1210,27.249347
3.0,1097,33.471028
3.0,1090,39.650808
3.0,1006,45.211642
1.0,644,48.629575
1.0,700,52.52155
1.0,702,56.423932
0.0,526,59.198944
0.0,520,62.187774
0.0,543,65.089832
0.0,532,67.911754
2.0,743,72.154357
1.0,727,76.181925
2.0,814,80.881299
3.0,923,86.238912
2.0,838,90.814835
0.0,517,93.700291
0.0,510,96.476182
2.0,827,101.089273
4.0,1070,107.434842
0.0,507,110.21865
2.0,826,114.893306
0.0,508,117.742438
1.0,695,121.697091
0.0,515,124.607944
0.0,520,127.476974
0.0,507,130.288545
0.0,517,132.998289
1.0,702,136.849468
1.0,688,140.812177
0.0,531,143.669378
0.0,532,146.478886
0.0,507,149.316512
2.0,758,153.629572
0.0,515,156.490578
0.0,524,159.427163
0.0,540,162.314327
1.0,710,166.276611
0.0,505,169.16675
0.0,519,172.130325
0.0,536,175.085576
0.0,521,177.935907
1.0,688,181.827448
2.0,771,186.117505
0.0,512,188.863955
0.0,528,191.672498
0.0,539,194.508582
2.0,757,198.844985
0.0,531,201.637671
2.0,834,206.339828
0.0,515,209.216418
1.0,631,212.636431
0.0,523,215.423813
0.0,541,218.2576
0.0,534,221.051209
1.0,655,224.767234
1.0,639,228.27991
0.0,532,231.152051
1.0,713,235.069396
5.0,1175,242.064099
0.0,537,244.980457
6.0,1475,253.774224
2.0,805,258.269871
1.0,709,262.202296
1.0,704,266.181237
4.0,1124,272.671199
1.0,633,276.236674
0.0,530,279.05414
0.0,528,281.958463
0.0,524,284.693252
3.0,1022,290.31083
0.0,518,293.116828
1.0,707,296.798548
3.0,955,302.303228
0.0,535,305.133669
1.0,698,308.905814
0.0,518,311.622144
0.0,519,314.409629
1.0,637,317.81687
3.0,973,323.336386
3.0,1010,329.11645
0.0,532,331.920338
1.0,679,335.813894
3.0,1009,341.642315
0.0,512,344.422632
2.0,828,348.827778
0.0,516,351.50273
2.0,821,356.027452
0.0,531,358.83644
0.0,521,361.573876
3.0,1020,367.349588
8.0,1494,375.90369
1.0,707,379.721181
0.0,510,382.310747
0.0,495,384.942806
3.0,1006,390.785676
0.0,527,393.571852
0.0,519,396.553895
0.0,540,399.367648
1.0,713,403.351965
6.0,1612,412.838238
0.0,524,415.706754
1.0,706,419.692325
0.0,532,422.558862
0.0,514,425.481906
0.0,531,428.355109
6.0,1534,437.250002
3.0,1026,443.086931
1.0,617,446.496066
3.0,1030,452.335284
1.0,724,456.257406
2.0,837,461.094838
2.0,817,465.473997
2.0,835,469.913323
3.0,1007,475.441815
2.0,896,480.779798
3.0,1018,486.800891
0.0,520,489.702206
0.0,504,492.41231
3.0,1085,498.792195
1.0,645,502.292866
0.0,533,505.116587
2.0,814,509.872752
2.0,812,514.427442
5.0,1398,522.306077
0.0,519,525.057925
1.0,635,528.427653
0.0,528,531.186058
7.0,1027,536.914201
0.0,528,539.717194
7.0,1016,545.339899
4.0,1045,551.26699
2.0,889,556.098515
0.0,516,558.899992
5.0,1422,567.203657
0.0,501,569.933038
0.0,528,572.793036
1.0,631,576.362216
2.0,821,580.9625
3.0,883,586.051406
0.0,527,588.749184
7.0,1015,594.455166
5.0,1403,602.716989
0.0,533,605.470241
4.0,1196,612.391766
5.0,1406,620.495417
0.0,527,623.319957
0.0,520,626.117344
0.0,533,628.792899
7.0,1599,637.85199
0.0,528,640.481305
0.0,543,643.341512
7.0,1011,649.12688
9.0,1620,658.751106
0.0,525,661.556789
1.0,640,664.972592
3.0,879,669.890568
1.0,652,673.418126
0.0,515,676.230969
9.0,1632,685.570578
9.0,1644,694.864285
0.0,523,697.517668
0.0,539,700.30056
5.0,1163,706.896374
0.0,539,709.681251
0.0,539,712.446692
0.0,541,715.239933
9.0,1624,724.693603
9.0,1620,734.037622
0.0,517,736.855408
1.0,636,740.256932
3.0,1024,745.983489
0.0,525,748.707054
0.0,517,751.430907
9.0,1624,760.443919
4.0,1146,767.046074
