#{"t_start": 1724336014.1471515, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,529,6.715508
1.0,691,10.374089
0.0,531,13.142346
3.0,1094,19.344589
0.0,531,22.064969
0.0,515,24.867783
3.0,1025,30.568673
0.0,528,33.31032
0.0,528,36.016347
4.0,1303,43.308126
2.0,778,47.461456
0.0,521,50.335715
0.0,520,53.129641
0.0,528,55.879805
0.0,530,58.705151
2.0,840,63.523284
0.0,519,66.409828
0.0,514,69.164414
0.0,508,71.994822
1.0,641,75.490849
0.0,540,78.288051
0.0,525,81.169775
0.0,536,84.000718
4.0,1114,90.290384
5.0,1272,97.839232
0.0,522,100.610006
4.0,1091,106.983225
0.0,527,109.82814
0.0,531,112.69348
1.0,632,116.277415
5.0,1289,123.972663
0.0,528,126.842741
0.0,528,129.680858
1.0,696,133.360249
0.0,539,136.298465
2.0,829,140.997296
0.0,519,143.77729
0.0,520,146.635279
0.0,522,149.532325
3.0,933,154.913798
0.0,520,157.832007
0.0,521,160.748085
0.0,539,163.630252
1.0,655,167.244051
0.0,526,170.144174
0.0,523,173.098151
0.0,524,175.951053
3.0,1013,181.798012
0.0,515,184.662578
1.0,709,188.568695
0.0,532,191.411687
0.0,524,194.259144
3.0,895,199.302409
1.0,633,202.788297
2.0,830,207.528653
1.0,713,211.451006
0.0,514,214.256635
0.0,533,217.082849
1.0,619,220.535341
2.0,808,225.2627
0.0,540,228.108588
1.0,728,232.202986
0.0,539,235.048264
2.0,820,239.673139
1.0,648,243.296237
0.0,543,246.085035
0.0,504,248.873178
0.0,537,251.798571
1.0,712,255.665743
0.0,515,258.355868
1.0,614,261.909726
0.0,523,264.7288
1.0,692,268.563866
0.0,513,271.349046
2.0,818,276.081664
3.0,945,281.503156
0.0,520,284.196842
1.0,700,287.961897
0.0,526,290.812495
2.0,880,295.60429
0.0,539,298.420738
0.0,516,301.245733
1.0,687,305.092401
0.0,517,307.838343
1.0,697,311.838488
2.0,902,316.837276
0.0,532,319.664709
1.0,648,323.225103
0.0,535,326.059975
3.0,947,331.435648
1.0,702,335.42155
1.0,684,339.295345
2.0,919,344.45825
3.0,1010,350.005985
2.0,898,354.975646
4.0,1215,361.936111
4.0,1212,368.734682
3.0,1085,374.923841
5.0,1486,383.268433
0.0,534,386.118825
5.0,1398,394.407254
8.0,1414,402.765236
1.0,633,406.281431
4.0,1138,412.944599
0.0,529,415.825215
0.0,511,418.526983
1.0,656,422.147116
0.0,528,425.03603
0.0,531,427.965299
5.0,1406,436.104781
3.0,1104,442.380265
0.0,501,445.060911
1.0,708,449.055015
0.0,508,451.878633
1.0,712,455.737818
0.0,534,458.582804
0.0,501,461.386016
2.0,822,465.79294
4.0,1154,472.20183
4.0,1059,478.34902
2.0,802,483.014592
0.0,515,485.905984
0.0,543,488.86816
0.0,515,491.5497
0.0,512,494.371423
5.0,1432,502.716531
5.0,1406,511.133249
2.0,819,515.54566
5.0,1419,523.540884
11.0,1103,529.694311
1.0,731,533.697667
0.0,517,536.422763
2.0,910,541.433494
4.0,1202,548.249376
3.0,1019,553.91194
0.0,516,556.702107
4.0,1201,563.742095
3.0,1017,569.536629
5.0,1406,577.935938
3.0,933,583.224309
0.0,525,586.007959
5.0,1414,594.214524
2.0,755,598.423074
0.0,515,601.196725
0.0,528,603.919059
3.0,959,609.264061
4.0,1298,616.693876
0.0,539,619.467741
0.0,527,622.303619
0.0,518,625.104418
0.0,528,627.799445
5.0,1236,634.695405
0.0,521,637.369284
11.0,1671,646.949488
0.0,540,649.907721
6.0,1542,658.921061
3.0,1018,664.732462
4.0,1202,671.552092
3.0,1100,677.600888
0.0,532,680.242441
0.0,531,683.201303
9.0,1616,692.567729
0.0,516,695.233968
0.0,520,697.955191
0.0,517,700.652326
1.0,707,704.33727
0.0,527,707.106044
0.0,523,709.902362
0.0,540,712.699439
0.0,520,715.468025
5.0,1402,723.633236
0.0,533,726.261883
1.0,652,729.702919
2.0,844,734.464251
0.0,517,737.22719
0.0,528,739.935614
0.0,517,742.656617
1.0,648,746.052655
0.0,517,748.755334
0.0,521,751.467146
0.0,521,754.168957
9.0,1640,763.346152
