#{"t_start": 1724336014.6541002, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,632,6.793147
2.0,814,11.19434
0.0,529,13.912296
0.0,523,16.610103
0.0,534,19.366525
4.0,1126,25.894614
2.0,847,30.498386
4.0,1222,37.329817
5.0,1389,45.199554
0.0,521,47.964798
0.0,536,50.747716
0.0,519,53.521155
0.0,534,56.328377
0.0,511,59.226342
1.0,635,62.863777
0.0,516,65.756114
0.0,495,68.456131
1.0,649,72.042981
4.0,1132,78.522863
0.0,528,81.478477
4.0,1234,88.475858
0.0,521,91.338692
1.0,689,95.237279
0.0,528,98.077741
1.0,632,101.61275
2.0,768,105.841136
2.0,759,110.11032
0.0,535,112.944245
1.0,633,116.581045
3.0,933,122.022825
3.0,1016,127.999457
0.0,540,130.785141
0.0,507,133.389085
1.0,637,137.015267
0.0,524,139.823177
3.0,1034,145.710235
1.0,708,149.756306
2.0,810,154.378086
0.0,539,157.301411
0.0,529,160.21286
0.0,524,163.101296
1.0,639,166.70643
0.0,508,169.672219
2.0,769,174.065099
2.0,814,178.553466
2.0,775,182.881599
3.0,1024,188.766821
1.0,645,192.222132
0.0,531,195.121826
6.0,1480,203.782455
0.0,519,206.627991
2.0,898,211.734199
0.0,521,214.576223
0.0,519,217.420867
0.0,521,220.23244
2.0,746,224.406179
1.0,714,228.418708
3.0,1010,234.292708
0.0,524,237.133873
1.0,649,240.664224
2.0,894,245.864379
0.0,521,248.64608
2.0,915,253.851367
2.0,809,258.400317
1.0,608,261.915898
0.0,541,264.720088
1.0,731,268.70376
1.0,623,272.207083
0.0,516,275.038683
0.0,503,277.775293
0.0,517,280.658296
0.0,513,283.344399
4.0,1030,289.09428
0.0,521,291.809118
1.0,725,295.573651
0.0,533,298.404706
0.0,520,301.249844
1.0,683,305.058391
0.0,517,307.88416
0.0,500,310.62261
2.0,812,315.147785
2.0,825,319.757331
2.0,893,324.892138
0.0,537,327.74562
1.0,639,331.252615
0.0,519,333.98101
0.0,524,336.833468
1.0,725,340.781426
1.0,637,344.28871
3.0,998,349.838516
10.0,1832,360.432647
0.0,521,363.219107
0.0,516,365.933537
0.0,511,368.537866
0.0,535,371.315592
4.0,1224,378.159909
0.0,503,380.750066
0.0,498,383.407248
1.0,719,387.358751
1.0,652,390.86856
0.0,539,393.778224
2.0,808,398.39384
5.0,1402,406.67815
0.0,533,409.54944
0.0,543,412.382392
0.0,529,415.267271
1.0,707,419.246282
9.0,1616,429.043738
0.0,539,431.82726
1.0,645,435.23372
0.0,515,438.019139
5.0,1183,444.860463
2.0,891,449.967733
1.0,712,453.865342
2.0,833,458.650811
6.0,1550,467.282335
5.0,1422,475.442971
0.0,519,478.367206
0.0,523,481.216969
0.0,523,484.050537
0.0,537,487.003101
0.0,528,489.763088
1.0,708,493.761971
5.0,1410,502.075125
0.0,528,504.90196
0.0,540,507.83399
2.0,811,512.384202
5.0,1426,520.238476
4.0,1082,526.407326
3.0,1010,532.174778
0.0,536,534.925701
0.0,520,537.68449
4.0,1117,544.041344
1.0,699,547.754102
0.0,512,550.506883
0.0,516,553.176538
4.0,1211,560.061639
1.0,640,563.631028
0.0,512,566.283671
0.0,527,569.119827
0.0,531,571.978011
0.0,527,574.839061
2.0,817,579.444935
2.0,821,584.123698
2.0,817,588.629727
1.0,651,592.150593
0.0,534,594.998212
7.0,1003,600.789509
0.0,516,603.511647
2.0,922,608.615814
0.0,513,611.393906
0.0,543,614.179707
7.0,1021,619.871046
1.0,631,623.361159
5.0,1418,631.384915
0.0,531,634.096832
3.0,1022,639.632357
5.0,1416,648.005082
0.0,531,650.886462
0.0,543,653.663848
0.0,523,656.462146
4.0,1222,663.412889
3.0,998,669.086304
0.0,535,671.931999
0.0,536,674.728499
5.0,1410,682.750106
4.0,1118,689.122451
1.0,643,692.567103
0.0,507,695.113576
0.0,540,697.879828
3.0,1004,703.35856
5.0,1486,712.066549
0.0,521,714.843966
0.0,533,717.628726
0.0,527,720.372756
0.0,541,723.177538
2.0,895,728.043517
9.0,1624,737.58343
2.0,839,742.104624
1.0,640,745.496089
1.0,703,749.314962
9.0,1628,758.347851
2.0,819,763.013113
