#{"t_start": 1724336012.9680896, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,504,7.7357
1.0,622,11.02147
0.0,532,13.722586
1.0,682,17.503401
2.0,810,22.004363
2.0,825,26.548245
5.0,1385,34.536219
2.0,808,38.995576
3.0,1108,45.086061
1.0,644,48.446973
1.0,641,51.962659
1.0,700,55.863869
1.0,716,59.935956
2.0,743,64.317454
0.0,519,67.212823
5.0,1286,74.767129
1.0,716,78.664789
0.0,533,81.564399
0.0,523,84.363825
2.0,822,89.016325
0.0,518,91.825477
1.0,643,95.383862
1.0,704,99.335414
1.0,631,102.894462
0.0,519,105.69211
1.0,611,109.180165
0.0,539,112.068579
3.0,888,117.110159
1.0,708,121.097664
1.0,633,124.71019
1.0,632,128.240053
0.0,525,131.083531
1.0,700,134.764531
1.0,732,138.88519
0.0,534,141.684711
0.0,536,144.509796
0.0,527,147.363359
0.0,510,150.234771
0.0,526,153.070612
0.0,533,155.909691
1.0,620,159.571993
0.0,527,162.440082
2.0,830,167.179749
7.0,995,173.220792
4.0,1226,180.339592
5.0,1282,187.933423
5.0,1286,195.513852
1.0,621,199.015732
2.0,765,203.196824
0.0,516,206.090903
0.0,529,208.97236
0.0,507,211.684809
2.0,886,216.697341
1.0,653,220.204888
1.0,638,223.785342
2.0,888,228.939049
0.0,526,231.826811
1.0,704,235.724638
2.0,816,240.418084
1.0,632,243.949923
0.0,531,246.786996
1.0,640,250.350819
2.0,911,255.5534
2.0,805,260.102395
0.0,495,262.834225
4.0,1210,269.883363
1.0,604,273.350762
2.0,831,278.014295
5.0,1410,286.332096
1.0,644,289.648402
0.0,507,292.469149
3.0,919,297.494371
2.0,815,302.053745
1.0,645,305.53482
2.0,891,310.659302
1.0,605,314.052682
0.0,519,316.872952
2.0,817,321.495946
1.0,628,325.019899
4.0,1150,331.562812
1.0,696,335.435971
1.0,631,339.069765
2.0,814,343.698362
0.0,507,346.443199
6.0,1458,354.642247
2.0,740,358.816353
2.0,891,363.91981
0.0,521,366.686418
1.0,623,369.880989
1.0,719,373.78621
3.0,947,378.919441
2.0,834,383.405978
1.0,643,386.914485
6.0,1498,395.680911
1.0,639,399.211205
0.0,535,401.984801
0.0,521,404.834643
0.0,535,407.655546
0.0,539,410.535747
0.0,524,413.360101
9.0,1616,423.095703
0.0,532,426.00247
0.0,535,428.920305
0.0,528,431.741745
7.0,1657,441.206079
3.0,1089,447.405401
1.0,648,450.917864
0.0,529,453.72428
1.0,724,457.617089
0.0,523,460.464921
3.0,944,465.688318
1.0,632,468.989948
3.0,1006,474.569712
0.0,530,477.48729
0.0,540,480.400464
0.0,540,483.312982
1.0,650,486.869207
0.0,514,489.756339
0.0,507,492.411103
0.0,515,495.286797
6.0,1544,504.357862
3.0,1120,510.829789
2.0,800,515.363705
0.0,501,517.975628
0.0,535,520.55022
0.0,524,523.396577
10.0,1602,532.688964
0.0,526,535.501093
2.0,829,540.040505
3.0,937,545.198725
2.0,791,549.604635
5.0,1340,557.164569
7.0,1511,566.119581
2.0,815,570.681455
0.0,519,573.553617
2.0,827,578.276043
4.0,1214,585.269818
0.0,517,587.965978
0.0,512,590.631707
0.0,526,593.449934
0.0,537,596.325411
0.0,520,599.104679
0.0,501,601.833832
1.0,649,605.241431
0.0,528,608.05425
1.0,737,612.035009
4.0,1203,618.890848
4.0,1189,625.796493
0.0,537,628.481209
0.0,542,631.26717
1.0,635,634.696066
0.0,528,637.392265
3.0,883,642.20613
5.0,1427,650.52556
5.0,1340,658.314078
4.0,1222,665.282132
3.0,895,670.14508
0.0,515,672.976903
0.0,531,675.756553
1.0,731,679.501033
0.0,523,682.277583
0.0,539,685.174706
1.0,641,688.56635
1.0,733,692.531418
1.0,619,695.826471
0.0,516,698.531034
4.0,1062,704.46799
0.0,527,707.28366
0.0,532,710.047036
0.0,516,712.839043
0.0,529,715.623425
2.0,830,720.154826
5.0,1406,728.164265
1.0,724,732.102636
4.0,1188,739.047763
9.0,1628,748.336172
0.0,529,751.041902
1.0,659,754.444432
3.0,1023,759.862096
3.0,1109,766.228811
