#{"t_start": 1724336013.7043958, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,702,8.088781
3.0,1104,14.149113
0.0,528,16.913755
0.0,505,19.568239
0.0,512,22.274216
3.0,1014,28.08359
0.0,536,30.845248
1.0,640,34.257084
3.0,994,39.87164
0.0,501,42.440943
2.0,758,46.53025
1.0,641,50.024707
0.0,535,52.82059
0.0,524,55.592842
0.0,506,58.365721
1.0,641,62.06778
5.0,1434,70.556922
0.0,515,73.3967
1.0,641,76.801332
0.0,527,79.666022
2.0,817,84.348825
0.0,516,87.206296
1.0,698,91.10129
1.0,639,94.661501
1.0,699,98.55015
0.0,514,101.315889
4.0,1080,107.678237
0.0,526,110.516361
3.0,895,115.621181
1.0,614,119.150556
2.0,769,123.468921
0.0,528,126.317494
0.0,523,129.197653
0.0,517,131.913713
1.0,706,135.732205
2.0,810,140.451895
0.0,532,143.288842
0.0,516,146.131031
4.0,1058,152.398323
0.0,517,155.228918
0.0,542,158.165199
0.0,536,161.080112
0.0,522,163.96356
0.0,520,166.881739
1.0,634,170.495848
0.0,530,173.447435
4.0,1218,180.496871
1.0,643,184.063896
0.0,525,186.78276
0.0,519,189.627916
2.0,831,194.36406
4.0,1071,200.521575
0.0,533,203.367614
0.0,511,206.181734
3.0,1016,212.033777
7.0,1019,217.834543
1.0,643,221.354393
2.0,747,225.577693
3.0,895,230.677458
2.0,894,235.835001
1.0,651,239.449131
3.0,889,244.535168
0.0,519,247.297125
0.0,523,250.107515
4.0,1296,257.668631
3.0,1109,264.24051
0.0,524,267.05428
2.0,798,271.611073
1.0,631,275.133626
0.0,510,277.936699
0.0,523,280.858837
1.0,635,284.215305
3.0,1006,289.821351
0.0,493,292.570109
2.0,802,296.923748
0.0,515,299.680192
0.0,528,302.528115
0.0,523,305.212915
2.0,889,310.19456
1.0,708,314.070749
1.0,708,317.960777
1.0,722,321.971429
2.0,732,326.141443
2.0,830,330.732471
0.0,521,333.490888
1.0,717,337.505825
4.0,1202,344.550962
2.0,809,348.965327
0.0,524,351.688316
5.0,1426,359.86132
6.0,1616,369.203003
3.0,1097,375.393396
3.0,877,380.195938
2.0,739,384.216726
1.0,700,388.167705
1.0,652,391.663352
3.0,877,396.827338
2.0,748,400.964437
0.0,525,403.83933
9.0,1644,413.510914
0.0,521,416.384341
1.0,645,419.941076
0.0,543,422.8438
0.0,516,425.744895
3.0,904,430.888955
6.0,1538,439.659394
1.0,711,443.522462
1.0,700,447.408116
0.0,519,450.245237
4.0,1124,456.731512
0.0,527,459.622014
0.0,497,462.32763
1.0,645,465.642225
6.0,1490,473.892745
1.0,728,478.015353
5.0,1167,484.967127
3.0,1020,490.97497
0.0,522,493.835711
2.0,809,498.549147
3.0,1096,504.832751
0.0,528,507.736613
3.0,999,513.502023
3.0,988,518.923887
0.0,529,521.675411
0.0,511,524.416387
0.0,500,527.089406
2.0,804,531.571506
0.0,507,534.341116
2.0,818,538.858399
0.0,519,541.615211
2.0,809,546.087438
0.0,523,548.821016
0.0,536,551.576986
1.0,624,554.884295
2.0,759,559.099599
4.0,1300,566.701854
0.0,512,569.536962
0.0,507,572.341
2.0,767,576.665329
2.0,821,581.266689
0.0,508,584.080613
0.0,501,586.805352
2.0,795,591.151221
1.0,643,594.755726
0.0,532,597.584314
0.0,532,600.393427
2.0,822,604.997066
3.0,1022,610.752622
4.0,1206,617.697446
0.0,528,620.480067
0.0,532,623.312698
11.0,1091,629.437477
11.0,1087,635.566023
4.0,1209,642.306305
1.0,636,645.753458
0.0,519,648.640376
0.0,537,651.536471
0.0,529,654.299193
9.0,1640,663.710658
1.0,722,667.599121
2.0,759,671.72441
0.0,532,674.534703
0.0,536,677.254158
0.0,537,679.857393
0.0,517,682.782138
0.0,536,685.598491
0.0,536,688.286207
0.0,536,691.090629
0.0,519,693.810179
5.0,1406,701.829476
7.0,1019,707.468091
0.0,523,710.260684
0.0,524,713.063401
9.0,1628,722.515278
3.0,1032,728.212412
0.0,517,730.971371
0.0,537,733.85359
3.0,1015,739.51763
9.0,1620,748.804784
0.0,525,751.541363
2.0,823,755.952778
2.0,844,760.344753
0.0,537,763.17246
