#{"t_start": 1724336013.3378532, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,505,7.388571
0.0,532,9.998097
0.0,515,12.697581
1.0,627,16.116258
2.0,887,21.049226
0.0,515,23.782415
3.0,1010,29.48652
3.0,1018,35.063653
1.0,640,38.521333
3.0,1021,44.144309
0.0,531,46.840944
0.0,516,49.608958
0.0,516,52.392732
3.0,967,57.766116
2.0,765,62.206364
0.0,527,65.110867
2.0,814,69.669914
2.0,826,74.430555
3.0,1086,80.788976
0.0,535,83.601387
0.0,539,86.460925
4.0,1234,93.489701
3.0,935,98.908347
0.0,506,101.67293
4.0,1088,108.034896
0.0,530,110.871662
1.0,718,114.914426
0.0,506,117.808563
0.0,510,120.558546
3.0,948,126.015588
0.0,536,128.884932
0.0,516,131.696581
0.0,498,134.250321
1.0,629,137.899822
4.0,1216,144.932253
0.0,508,147.771149
1.0,613,151.317143
2.0,824,156.003754
0.0,523,158.928839
0.0,536,161.818596
2.0,773,166.102348
4.0,1051,172.508971
1.0,633,176.128629
0.0,521,178.876899
0.0,536,181.71908
2.0,753,186.00065
0.0,527,188.79196
4.0,1218,195.933901
5.0,1300,203.409565
1.0,653,206.979037
5.0,1410,215.232278
0.0,519,218.063748
0.0,522,220.850077
0.0,507,223.675524
5.0,1412,232.031517
0.0,519,234.762799
0.0,522,237.591647
2.0,755,241.892059
2.0,910,247.091162
0.0,502,249.875924
3.0,1101,256.259962
2.0,831,260.951723
0.0,499,263.784983
0.0,540,266.59095
0.0,517,269.340663
1.0,627,272.832248
0.0,531,275.691304
0.0,531,278.508385
0.0,529,281.417349
1.0,624,284.80088
1.0,721,288.576423
1.0,697,292.519198
2.0,811,296.852653
0.0,537,299.680218
0.0,514,302.525354
1.0,683,306.332664
2.0,905,311.561023
3.0,1028,317.324393
3.0,1087,323.649531
0.0,527,326.469638
0.0,524,329.190317
0.0,515,331.996712
0.0,511,334.734117
0.0,511,337.642692
0.0,524,340.396017
2.0,822,345.047399
0.0,529,347.672138
5.0,1410,355.677283
0.0,541,358.474817
0.0,520,361.217182
2.0,804,365.807253
5.0,1315,373.22113
3.0,1010,378.857026
0.0,517,381.512101
3.0,867,386.40116
0.0,536,389.238007
3.0,1034,395.134524
4.0,1220,402.168824
0.0,527,404.994823
0.0,519,407.814288
0.0,516,410.715533
0.0,532,413.539618
0.0,535,416.419697
1.0,632,419.925004
0.0,532,422.806665
0.0,520,425.710712
1.0,720,429.81725
7.0,1023,435.463473
4.0,1111,441.875971
4.0,1138,448.432686
1.0,641,451.962396
1.0,644,455.420478
0.0,528,458.256953
0.0,527,461.217051
0.0,514,463.872311
1.0,640,467.220201
3.0,1097,473.221012
0.0,522,476.060826
0.0,514,478.96655
0.0,512,481.817461
4.0,1288,489.579498
0.0,523,492.271002
0.0,520,495.101776
0.0,525,497.929376
2.0,749,502.199035
2.0,897,507.390819
0.0,516,510.281315
2.0,800,514.795935
2.0,834,519.172071
0.0,539,521.907829
0.0,499,524.65679
0.0,517,527.33585
3.0,1030,533.083946
1.0,637,536.520065
0.0,521,539.337293
3.0,1020,545.05966
2.0,807,549.444954
5.0,1430,557.55979
2.0,839,562.239188
3.0,1004,568.06787
0.0,516,570.911671
4.0,1201,578.008588
0.0,531,580.782183
0.0,532,583.612187
3.0,931,588.823641
4.0,1199,595.775641
0.0,516,598.566838
5.0,1398,606.696393
0.0,519,609.487303
0.0,523,612.290287
0.0,540,615.081224
0.0,519,617.838688
0.0,524,620.614857
0.0,524,623.449728
0.0,522,626.228117
0.0,523,628.925962
0.0,522,631.69064
7.0,1015,637.279261
0.0,515,639.919192
0.0,537,642.755377
7.0,1007,648.544352
0.0,528,651.47112
3.0,935,656.734974
0.0,517,659.542614
3.0,1018,665.343229
7.0,1015,670.978995
0.0,518,673.838596
5.0,1415,681.733013
0.0,521,684.643191
2.0,841,689.235749
2.0,775,693.405582
3.0,1034,698.985693
0.0,529,701.659497
5.0,1418,709.756701
0.0,516,712.506012
0.0,515,715.290974
0.0,517,718.003125
0.0,535,720.775872
1.0,632,724.302242
9.0,1632,733.646523
0.0,532,736.466205
9.0,1636,745.783354
1.0,646,749.083546
3.0,1115,755.250111
9.0,1620,764.464781
2.0,768,768.603296
