#{"t_start": 1724336014.5813742, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,707,7.353053
0.0,509,9.915501
0.0,536,12.678531
2.0,872,17.541637
0.0,519,20.348887
0.0,535,23.15975
0.0,520,25.914415
0.0,539,28.658783
1.0,708,32.511722
3.0,1114,38.691015
5.0,1458,46.999238
0.0,508,49.818047
1.0,736,53.782355
0.0,532,56.571732
0.0,535,59.51759
0.0,533,62.430814
0.0,529,65.345431
3.0,948,70.785438
2.0,901,75.881992
0.0,527,78.737017
2.0,833,83.421132
2.0,834,88.09251
0.0,529,90.91131
0.0,535,93.754287
0.0,514,96.509495
1.0,710,100.452699
0.0,516,103.271637
0.0,536,106.148319
2.0,910,111.428176
1.0,640,115.013767
4.0,1047,121.201636
0.0,502,124.046776
2.0,761,128.333009
3.0,906,133.370404
2.0,807,138.139264
2.0,818,142.808387
2.0,764,147.170798
0.0,538,150.089939
2.0,807,154.708445
0.0,531,157.575427
6.0,1412,165.984168
0.0,495,168.778909
0.0,535,171.750118
4.0,1220,178.811076
0.0,531,181.691242
0.0,520,184.549275
0.0,508,187.33234
0.0,536,190.152537
0.0,508,192.937043
0.0,527,195.845031
0.0,543,198.641303
1.0,649,202.123736
0.0,516,205.010446
0.0,525,207.879781
0.0,508,210.544713
2.0,825,215.151021
0.0,527,217.991228
2.0,814,222.676585
2.0,836,227.418555
0.0,538,230.309182
1.0,691,234.152348
0.0,519,236.990319
1.0,718,240.986584
0.0,541,243.860793
1.0,706,247.820943
3.0,1017,253.701114
3.0,1008,259.4475
0.0,498,262.222914
0.0,517,265.029762
1.0,655,268.512045
0.0,512,271.276892
1.0,651,274.83146
1.0,627,278.288168
9.0,1644,287.6354
2.0,897,292.655992
1.0,685,296.341032
0.0,512,299.044039
2.0,822,303.648107
2.0,909,308.718811
3.0,928,313.934927
4.0,1134,320.533049
2.0,838,325.242606
3.0,1022,331.033656
1.0,696,334.959495
2.0,814,339.683017
0.0,539,342.505673
3.0,926,347.624697
0.0,524,350.412538
0.0,528,353.098626
3.0,1116,359.354454
0.0,513,362.144788
1.0,648,365.60125
2.0,747,369.60731
3.0,986,375.219089
0.0,523,377.897828
4.0,1190,384.77842
0.0,520,387.582498
0.0,524,390.370333
1.0,702,394.481092
5.0,1434,402.766008
1.0,640,406.34153
0.0,516,409.235931
0.0,521,412.061183
0.0,536,414.93933
0.0,529,417.711118
0.0,515,420.54739
0.0,540,423.466769
8.0,1712,433.612624
0.0,541,436.389122
0.0,508,439.157177
1.0,681,442.93055
4.0,1061,448.952446
0.0,522,451.755222
0.0,523,454.497524
0.0,523,457.344109
0.0,523,460.229159
4.0,1087,466.245462
0.0,499,468.794995
5.0,1322,476.52298
2.0,818,481.346932
0.0,524,484.180873
4.0,1230,491.38908
2.0,802,495.984548
1.0,644,499.536397
0.0,520,502.394145
0.0,523,505.220187
0.0,524,508.119766
3.0,988,513.789296
4.0,1204,520.412067
5.0,1316,528.075502
3.0,935,533.378867
0.0,521,536.094376
0.0,532,538.886235
0.0,533,541.641112
2.0,829,546.117499
3.0,881,551.00413
0.0,515,553.704475
5.0,1407,561.924346
0.0,510,564.669519
4.0,1199,571.701181
2.0,775,576.020073
2.0,821,580.631132
0.0,542,583.492648
2.0,802,588.004313
1.0,711,591.953859
0.0,539,594.820705
2.0,822,599.421632
2.0,826,603.97066
0.0,532,606.763788
5.0,1402,614.925914
0.0,532,617.613162
4.0,1216,624.579128
0.0,524,627.271813
6.0,1426,635.312871
4.0,1090,641.443918
9.0,1628,651.154626
9.0,1640,660.620712
3.0,1088,666.808034
2.0,814,671.307573
4.0,1304,678.489477
0.0,535,681.310615
1.0,650,684.880346
0.0,515,687.569982
5.0,1402,695.523258
0.0,531,698.314199
0.0,503,700.966599
0.0,523,703.687487
0.0,539,706.450613
0.0,517,709.244349
0.0,521,712.036231
0.0,528,714.818067
2.0,809,719.335005
0.0,520,722.174547
0.0,533,724.854938
0.0,529,727.582313
9.0,1632,737.093724
3.0,940,742.343536
0.0,525,745.100723
10.0,1804,755.332663
9.0,1628,764.636281
