#{"t_start": 1724336013.1878483, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,524,7.660475
0.0,511,10.21139
1.0,701,13.940415
0.0,536,16.745433
0.0,527,19.452504
1.0,647,22.91349
1.0,696,26.798067
0.0,511,29.537974
2.0,809,34.034149
0.0,523,36.655193
1.0,649,40.130253
1.0,619,43.40011
1.0,724,47.214857
1.0,681,51.021066
2.0,749,55.198603
0.0,508,57.983482
2.0,773,62.414382
0.0,528,65.328524
0.0,536,68.086281
0.0,528,70.969821
0.0,508,73.764278
3.0,1010,79.557652
0.0,516,82.485685
0.0,519,85.278007
2.0,838,89.874398
0.0,543,92.736986
4.0,1276,100.167261
2.0,739,104.394233
0.0,521,107.23697
1.0,704,111.24236
0.0,515,114.082482
0.0,532,116.95141
0.0,501,119.767821
2.0,753,124.09216
2.0,765,128.384531
3.0,1010,134.007775
0.0,515,136.857588
1.0,684,140.771793
0.0,519,143.610344
0.0,535,146.427255
1.0,628,149.988361
0.0,526,152.815532
0.0,543,155.658559
0.0,536,158.60297
0.0,537,161.512913
0.0,542,164.393076
0.0,528,167.310853
1.0,632,170.943866
0.0,539,173.906248
0.0,537,176.779131
1.0,704,180.638939
0.0,539,183.504497
2.0,812,188.145993
3.0,1122,194.564497
0.0,523,197.472494
0.0,528,200.28561
1.0,645,203.771701
2.0,842,208.512672
1.0,657,211.994926
0.0,521,214.728371
0.0,535,217.561831
1.0,637,221.091162
0.0,527,223.946041
7.0,1526,233.029943
1.0,722,237.057668
1.0,698,241.073796
0.0,521,243.94223
3.0,1004,249.787762
0.0,541,252.722899
2.0,818,257.236391
0.0,524,260.003397
0.0,501,262.766529
0.0,520,265.602496
2.0,759,269.813105
1.0,604,273.275991
0.0,527,276.113392
0.0,515,278.897975
0.0,521,281.797262
2.0,817,286.313844
0.0,536,288.971488
0.0,536,291.81578
3.0,1013,297.408723
0.0,524,300.156722
2.0,837,304.815155
2.0,886,309.899935
3.0,928,315.130287
2.0,825,319.720903
2.0,835,324.517973
4.0,1197,331.390042
1.0,637,334.846387
0.0,536,337.752436
0.0,493,340.453157
2.0,818,345.010973
3.0,984,350.483359
10.0,1686,360.177931
0.0,510,362.948725
0.0,529,365.729781
0.0,500,368.405947
1.0,635,371.744241
0.0,536,374.543381
1.0,639,377.943841
4.0,1125,384.116347
2.0,755,388.306969
3.0,1111,394.69966
1.0,631,398.290404
2.0,765,402.497885
1.0,655,406.026508
0.0,525,408.899263
0.0,529,411.762879
5.0,1402,420.122645
0.0,531,423.012972
0.0,536,425.915757
0.0,516,428.835989
8.0,1814,439.309695
2.0,734,443.382533
1.0,632,446.839212
3.0,1090,453.211385
0.0,515,455.971956
2.0,825,460.667036
2.0,893,465.541241
3.0,1087,471.440283
2.0,824,475.993957
0.0,542,478.90486
2.0,826,483.645225
0.0,519,486.519214
1.0,631,490.213037
1.0,630,493.655294
2.0,814,498.264933
0.0,527,501.070477
3.0,1026,506.954471
0.0,532,509.868199
2.0,802,514.368146
0.0,537,517.083577
4.0,1218,523.867878
7.0,1011,529.520929
1.0,648,533.0294
8.0,1143,539.455955
1.0,648,542.840382
2.0,804,547.270404
0.0,528,550.062621
2.0,819,554.515337
0.0,528,557.294805
4.0,1077,563.475168
2.0,793,568.046319
0.0,521,570.937683
0.0,525,573.850725
7.0,1019,579.628983
0.0,508,582.451018
2.0,816,587.098837
9.0,1702,597.126508
3.0,1011,602.845685
0.0,532,605.636415
1.0,636,609.087214
0.0,539,611.882011
0.0,527,614.641399
9.0,1624,624.087356
2.0,818,628.529839
1.0,647,631.989023
0.0,537,634.735386
4.0,1219,641.467577
1.0,631,644.968095
4.0,1308,652.639142
0.0,520,655.366998
9.0,1632,664.803552
3.0,1019,670.439744
0.0,523,673.22732
0.0,515,675.986867
7.0,1019,681.436122
9.0,1644,690.994603
5.0,1502,699.453666
4.0,1198,706.269731
0.0,541,709.028622
9.0,1616,718.467974
0.0,517,721.268789
0.0,521,724.072998
9.0,1644,733.403893
0.0,515,736.219122
1.0,708,740.113754
2.0,847,744.7719
0.0,505,747.39128
0.0,527,750.086231
3.0,967,755.426517
2.0,751,759.34875
2.0,894,764.351758
2.0,821,768.88692
