#{"t_start": 1724336013.630323, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
10.0,1827,14.767891
2.0,918,19.850375
0.0,533,22.633013
1.0,708,26.527035
2.0,826,30.993425
0.0,523,33.653626
0.0,524,36.373339
3.0,895,41.292482
0.0,515,43.939646
5.0,1414,52.073649
0.0,536,54.866112
0.0,524,57.641232
0.0,516,60.597581
0.0,530,63.46063
1.0,709,67.416036
1.0,628,71.023048
5.0,1426,79.240003
2.0,914,84.456161
0.0,515,87.309289
1.0,718,91.203172
4.0,1046,97.295285
2.0,753,101.557977
1.0,655,105.085813
0.0,521,107.924539
1.0,624,111.467405
0.0,534,114.304449
0.0,528,117.150168
0.0,514,119.922748
0.0,531,122.766963
2.0,813,127.495577
0.0,515,130.337262
2.0,824,134.73852
4.0,1129,141.480076
0.0,515,144.257783
0.0,529,147.113297
0.0,514,150.006843
0.0,509,152.812117
1.0,635,156.377402
0.0,522,159.333317
3.0,1105,165.68476
2.0,747,170.131591
0.0,518,173.093131
1.0,652,176.664267
1.0,700,180.53151
1.0,647,184.130537
4.0,1222,191.221371
3.0,879,196.312659
2.0,755,200.476057
0.0,535,203.295433
1.0,712,207.298377
2.0,767,211.562239
0.0,511,214.295961
0.0,531,217.129159
1.0,641,220.665177
2.0,918,225.986773
1.0,644,229.513455
1.0,628,233.020032
1.0,707,237.018678
0.0,524,239.876564
0.0,534,242.725457
2.0,818,247.447552
2.0,829,252.190406
1.0,713,256.099796
4.0,1051,262.263528
2.0,818,266.955572
0.0,508,269.710387
1.0,623,273.216676
0.0,525,276.048116
1.0,641,279.603181
5.0,1422,287.684754
2.0,827,292.321563
0.0,504,294.891626
0.0,517,297.523346
2.0,842,302.182301
1.0,617,305.525791
2.0,892,310.609456
0.0,539,313.469723
2.0,818,318.0702
0.0,531,320.920813
0.0,515,323.767633
0.0,515,326.608231
2.0,830,331.238131
1.0,696,335.192858
2.0,834,339.909544
1.0,644,343.409707
4.0,1102,349.61229
1.0,631,353.03234
0.0,507,355.799854
0.0,539,358.578713
0.0,520,361.270606
3.0,1012,367.043445
1.0,716,370.858403
0.0,515,373.652415
1.0,689,377.399916
5.0,1251,384.374708
0.0,531,387.188731
2.0,845,391.842809
1.0,715,396.034182
7.0,1690,405.90692
9.0,1628,415.614944
2.0,761,419.935432
0.0,527,422.839473
2.0,897,428.128063
2.0,763,432.381181
6.0,1514,441.095298
0.0,503,443.794585
0.0,523,446.549038
0.0,527,449.37493
0.0,525,452.24289
3.0,1026,458.016961
1.0,642,461.583487
0.0,534,464.214384
3.0,996,469.604149
5.0,1334,477.331088
0.0,507,480.228128
1.0,636,483.75554
0.0,525,486.661502
0.0,533,489.60306
3.0,930,494.920332
0.0,512,497.685515
1.0,631,501.220577
4.0,1216,508.375274
4.0,1204,515.270423
2.0,818,519.527818
0.0,513,522.265809
1.0,712,526.162941
4.0,1226,533.124252
3.0,877,538.033057
3.0,1085,544.141577
2.0,816,548.583519
2.0,830,553.143173
5.0,1344,560.736275
1.0,633,564.337388
5.0,1514,573.290123
1.0,659,576.865906
2.0,800,581.426785
0.0,531,584.289094
4.0,1210,591.103739
0.0,530,593.983591
10.0,1808,604.640258
3.0,1108,610.952381
0.0,527,613.715147
0.0,515,616.476294
0.0,543,619.237325
5.0,1408,627.214019
1.0,712,631.154872
2.0,759,635.258467
0.0,531,637.935455
0.0,535,640.642232
1.0,726,644.653939
11.0,1091,651.036025
4.0,1212,658.072722
4.0,1206,665.059587
1.0,632,668.366252
0.0,515,671.066387
3.0,1089,677.238083
1.0,708,681.032359
9.0,1640,690.582571
12.0,1294,697.773598
3.0,945,702.971339
6.0,1386,710.849812
9.0,1632,720.253913
4.0,1219,727.128399
1.0,643,730.566792
0.0,521,733.433239
9.0,1616,742.796082
1.0,709,746.659564
9.0,1640,755.799484
4.0,1236,762.583241
