#{"t_start": 1724334549.9733365, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,519,8.563046
2.0,791,13.340815
1.0,700,17.687404
4.0,1223,25.049845
1.0,687,28.910162
0.0,516,31.680421
2.0,736,36.111243
1.0,693,40.207189
2.0,821,45.138033
2.0,807,50.12538
10.0,1832,61.477779
5.0,1410,69.96999
2.0,797,74.60155
0.0,516,77.568029
0.0,515,80.413773
0.0,523,83.275658
