#{"t_start": 1724336002.648704, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,716,8.871358
2.0,903,14.131733
1.0,648,17.654692
1.0,700,21.641591
0.0,525,24.549458
0.0,519,27.542979
2.0,804,32.35687
1.0,703,36.550441
1.0,627,40.340334
2.0,830,45.067114
7.0,1282,52.565485
3.0,924,57.942496
2.0,813,62.874612
1.0,699,67.130683
2.0,907,72.622505
0.0,527,75.659259
9.0,1628,85.922266
0.0,529,88.946347
2.0,821,93.676514
0.0,517,96.550251
1.0,644,100.176569
0.0,524,103.120353
2.0,830,107.94443
0.0,539,110.829755
0.0,512,113.673593
0.0,523,116.452867
2.0,821,121.279587
0.0,523,124.232319
0.0,521,127.144741
2.0,819,131.736554
3.0,1000,137.416476
0.0,517,140.282329
2.0,825,145.038204
9.0,1624,155.205609
1.0,713,159.28302
2.0,889,164.638031
9.0,1638,174.76065
0.0,527,177.730388
1.0,688,181.748394
4.0,1069,188.269714
3.0,930,193.736579
3.0,940,199.195331
9.0,2016,211.513777
0.0,529,214.42149
0.0,533,217.248608
6.0,1551,226.04442
8.0,1866,236.804485
2.0,813,241.350654
12.0,2157,254.181367
14.0,2649,270.216881
8.0,1882,280.94306
13.0,2590,296.29562
11.0,2018,307.856564
11.0,1660,317.376063
13.0,1910,328.723967
0.0,529,331.610139
7.0,1729,341.965931
14.0,2400,356.282434
8.0,1673,366.07799
10.0,2122,378.289794
12.0,2595,393.777947
14.0,2388,408.075397
12.0,2039,420.378509
0.0,533,423.261802
6.0,1592,432.882886
8.0,1859,444.231767
3.0,1028,450.188342
11.0,1927,461.507755
0.0,529,464.287611
11.0,2181,476.869036
12.0,2128,489.065755
9.0,2190,501.992652
23.0,3115,520.737229
13.0,1836,531.773457
13.0,2027,543.577171
0.0,517,546.392909
0.0,529,549.301006
9.0,1640,559.110761
0.0,521,561.93495
10.0,1820,572.832786
0.0,521,575.719083
16.0,2268,589.542383
20.0,2905,607.1856
17.0,2409,621.580005
0.0,541,624.347605
0.0,525,627.126709
6.0,1459,635.510885
2.0,773,639.729883
1.0,645,643.112147
21.0,2614,658.426129
0.0,529,661.286432
19.0,2729,677.729226
0.0,525,680.603414
22.0,3292,700.294778
21.0,2918,717.037481
0.0,521,719.715013
9.0,1792,730.286197
21.0,2657,745.946542
20.0,3007,763.973909
