#{"t_start": 1724336001.643472, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,527,8.568959
4.0,1175,15.750688
0.0,506,18.568949
0.0,535,21.390098
1.0,637,24.998351
3.0,1105,31.653523
2.0,822,36.588757
2.0,819,41.601278
1.0,712,45.576021
3.0,1007,51.355965
2.0,826,56.01672
4.0,1201,63.207022
0.0,520,66.258282
0.0,517,69.251122
0.0,508,72.259925
0.0,523,75.215041
1.0,713,79.528919
2.0,810,84.438401
0.0,532,87.481997
4.0,1204,94.667032
0.0,527,97.617414
2.0,815,102.390364
2.0,814,107.057069
0.0,513,109.95766
0.0,521,112.80046
13.0,1836,123.995816
4.0,1188,131.176373
3.0,984,136.757971
6.0,1598,146.40172
2.0,821,151.33106
9.0,1624,161.38599
2.0,821,166.308375
0.0,540,169.306961
1.0,701,173.40483
2.0,825,178.28039
3.0,921,183.854125
5.0,1420,192.501432
4.0,1078,198.744299
0.0,535,201.616119
0.0,524,204.591906
3.0,1012,210.46937
8.0,1619,220.024513
0.0,541,222.737468
0.0,521,225.468626
11.0,1930,236.774724
6.0,1444,245.18364
10.0,2115,257.706517
14.0,2297,271.492951
11.0,1854,282.13526
9.0,1620,291.492721
15.0,2793,307.849009
11.0,2339,321.335807
0.0,529,324.155552
10.0,2016,336.321423
20.0,2972,354.318621
13.0,1864,365.124878
0.0,541,368.033816
12.0,2158,380.399591
0.0,525,383.214753
0.0,541,386.04635
0.0,529,388.82285
0.0,521,391.636464
13.0,2210,404.699925
14.0,2054,416.982255
14.0,2366,431.353827
10.0,2256,445.139412
0.0,537,448.108108
0.0,541,450.935635
16.0,2314,464.592374
14.0,2275,477.743075
14.0,1644,486.940047
0.0,525,489.792001
13.0,2368,503.843334
11.0,2208,517.046905
0.0,533,519.93429
10.0,1755,530.36892
14.0,2178,543.169481
9.0,1616,552.951334
0.0,543,555.822705
0.0,540,558.707566
0.0,523,561.538781
0.0,532,564.389814
0.0,539,567.27829
0.0,541,570.160843
17.0,2440,584.848858
18.0,2795,602.041375
0.0,529,604.993451
14.0,2028,617.152988
7.0,1741,627.265597
30.0,2299,640.700504
15.0,2154,653.24716
11.0,2376,667.365855
0.0,537,670.240719
0.0,521,673.141854
13.0,2124,685.682803
19.0,2933,703.227045
0.0,541,705.902056
14.0,2324,719.156251
21.0,2672,734.819163
12.0,1846,745.464312
0.0,525,748.368782
0.0,541,751.181054
0.0,525,754.027335
9.0,1616,763.676833
14.0,2559,778.950299
