#{"t_start": 1724336002.2524402, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1122,11.810807
2.0,828,16.606594
2.0,917,21.85785
0.0,500,24.664572
2.0,826,29.574296
1.0,713,33.711324
2.0,828,38.599138
1.0,644,42.246891
0.0,524,45.037564
1.0,695,48.883872
3.0,1092,55.241778
3.0,934,60.708779
2.0,908,66.252888
1.0,700,70.540411
4.0,1224,78.20362
4.0,1200,85.622226
0.0,523,88.576349
0.0,512,91.454653
9.0,1620,101.372416
5.0,1426,109.942006
5.0,1402,118.364621
0.0,501,121.191688
0.0,528,124.112971
10.0,1730,134.464325
0.0,521,137.283359
0.0,528,140.154255
3.0,1001,146.095284
2.0,814,151.029041
0.0,516,153.911073
2.0,825,158.734349
0.0,515,161.653651
2.0,817,166.601507
1.0,707,170.791266
2.0,813,175.602965
7.0,1790,186.836858
5.0,1402,195.314608
2.0,817,200.067999
1.0,646,203.672859
3.0,953,209.283218
0.0,533,212.09005
2.0,844,216.826558
8.0,1922,227.872147
10.0,1734,238.046103
11.0,2000,249.905343
15.0,2676,265.990416
8.0,1780,276.608258
9.0,2052,288.432405
5.0,1333,296.097779
2.0,833,300.68067
15.0,2503,315.141857
12.0,2150,327.812803
0.0,541,330.713454
0.0,517,333.544942
2.0,899,338.86246
15.0,2707,355.074733
9.0,1624,364.550195
13.0,2545,379.468552
7.0,1719,389.572903
0.0,529,392.381693
2.0,829,397.000274
8.0,1909,408.379321
11.0,1842,419.442965
12.0,2484,434.489726
5.0,1426,442.994523
3.0,897,448.276579
10.0,1742,458.427094
20.0,2503,472.976553
14.0,2439,487.12918
10.0,1758,497.449895
14.0,2502,512.283784
0.0,537,515.079404
18.0,2880,532.519617
16.0,2231,545.612518
0.0,519,548.49595
0.0,524,551.419337
0.0,543,554.297846
0.0,541,557.204495
0.0,531,560.088741
9.0,1616,569.825674
9.0,1922,581.178412
5.0,1344,589.324236
22.0,3259,609.149907
17.0,2377,623.339938
0.0,541,626.103052
7.0,1596,635.356536
22.0,3002,653.077324
17.0,2401,667.447412
13.0,2540,682.714303
13.0,2703,698.825218
9.0,1890,709.367294
25.0,2913,726.464756
0.0,525,729.296003
23.0,3298,748.872782
13.0,1864,759.902624
0.0,525,762.709186
17.0,1965,774.175197
0.0,517,777.027078
