#{"t_start": 1724336003.515119, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,502,6.66641
2.0,904,12.176265
2.0,915,17.482346
2.0,825,22.12693
0.0,532,25.128379
1.0,703,29.318962
0.0,515,32.33377
0.0,516,35.221945
3.0,1140,42.077766
1.0,714,46.02918
1.0,619,49.448221
8.0,1440,57.916754
2.0,891,63.40272
4.0,1226,71.054008
0.0,505,74.002221
5.0,1430,82.949819
0.0,508,85.933284
2.0,812,90.696006
2.0,825,95.434489
5.0,1398,104.067964
0.0,519,106.952322
1.0,715,110.956808
5.0,1406,119.401347
5.0,1406,127.982326
0.0,524,130.761347
4.0,1213,137.694458
3.0,1028,143.758736
0.0,515,146.653586
1.0,628,150.360925
1.0,714,154.46131
0.0,529,157.390714
10.0,1836,168.904779
0.0,512,171.766474
3.0,930,177.344137
2.0,829,182.206086
5.0,1116,188.903478
2.0,836,193.68225
3.0,1037,199.683098
2.0,834,204.618037
1.0,719,208.700472
12.0,2212,221.723457
2.0,813,226.160716
10.0,2089,238.293903
12.0,2382,252.40065
0.0,521,255.262207
5.0,1426,263.628003
16.0,1938,275.20871
0.0,541,277.926548
8.0,1821,288.416295
15.0,3077,306.397933
15.0,2159,318.810086
14.0,2667,335.003204
17.0,2545,350.217428
14.0,1967,361.782812
0.0,525,364.674805
16.0,2483,379.115002
0.0,537,381.935422
0.0,541,384.77278
14.0,1658,394.348632
0.0,533,397.217257
7.0,1656,407.079487
11.0,1864,418.256288
10.0,2380,432.753968
10.0,1747,443.321645
1.0,650,446.960832
14.0,2403,461.164982
12.0,2032,472.986631
10.0,1826,483.299181
19.0,2257,496.803755
18.0,2719,513.03112
16.0,2294,526.890262
0.0,529,529.735754
13.0,1864,540.42631
0.0,525,543.255651
0.0,535,546.098065
0.0,516,549.040942
0.0,528,551.930281
0.0,515,554.82044
9.0,1624,564.52065
0.0,525,567.404757
3.0,972,572.900342
12.0,1707,583.060002
11.0,2412,597.750684
5.0,1359,605.875156
19.0,2691,621.98381
10.0,2226,634.914495
19.0,2639,650.461587
13.0,2368,664.560108
14.0,2361,678.804228
21.0,3121,697.48166
11.0,2206,709.964375
17.0,2330,723.585276
35.0,3280,742.877474
16.0,2222,756.180137
28.0,2964,773.80167
0.0,533,776.675514
