#{"t_start": 1724336002.3841972, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,629,8.667357
1.0,702,12.721098
1.0,709,16.634288
1.0,648,20.23393
0.0,519,23.042747
2.0,851,28.095324
2.0,822,33.03636
0.0,510,35.941442
0.0,517,39.01479
2.0,911,44.254946
2.0,823,48.870625
0.0,515,51.586006
3.0,950,57.063108
4.0,1201,64.468323
2.0,813,69.43747
0.0,516,72.526224
0.0,541,75.589356
0.0,528,78.688305
0.0,536,81.693607
0.0,536,84.640343
0.0,500,87.60455
5.0,1403,96.093898
0.0,523,99.077116
0.0,504,101.929876
3.0,1008,107.801883
0.0,543,110.739358
5.0,1422,119.157235
0.0,511,122.069596
0.0,528,125.024651
3.0,1002,130.834802
1.0,683,134.602274
0.0,539,137.427042
10.0,1812,148.564927
2.0,807,153.431907
2.0,834,158.224743
10.0,1824,169.762156
0.0,515,172.602694
0.0,511,175.563798
4.0,1215,183.008891
0.0,520,185.925795
1.0,712,189.997214
1.0,636,193.471248
1.0,647,197.051111
0.0,536,199.892328
3.0,977,205.655706
5.0,1426,214.014895
7.0,1816,224.541365
14.0,2210,237.414079
4.0,1327,245.03427
0.0,537,247.849826
13.0,2454,262.524647
9.0,2009,274.501977
2.0,813,278.94335
10.0,1828,289.398328
6.0,1575,298.59638
19.0,2243,311.515771
0.0,533,314.218349
15.0,2070,326.265722
7.0,1704,336.362101
0.0,529,339.297047
13.0,2109,351.733683
13.0,2241,364.975433
21.0,3254,384.105798
0.0,525,386.926734
7.0,1651,396.580211
13.0,2198,409.808593
0.0,521,412.65948
10.0,1746,423.1349
0.0,541,425.993424
11.0,1951,437.797224
4.0,1124,444.4706
4.0,1212,451.650977
18.0,2704,467.571647
0.0,525,470.349781
14.0,1868,481.176097
12.0,2442,495.522913
17.0,2801,512.243418
0.0,521,515.034246
0.0,525,517.891929
10.0,2234,531.264009
21.0,1555,540.121816
4.0,1147,546.727503
0.0,532,549.646281
0.0,541,552.56384
0.0,516,555.445397
9.0,1640,565.139643
0.0,533,568.016581
4.0,1113,574.434827
18.0,2628,590.540909
0.0,541,593.385742
15.0,2500,608.441929
12.0,2029,620.506524
22.0,2708,636.407849
12.0,2192,649.227504
20.0,2801,665.901885
22.0,2814,682.863839
0.0,529,685.698662
12.0,2606,701.220999
8.0,1727,710.889603
14.0,2743,726.932938
11.0,1879,737.794081
18.0,2581,753.151738
0.0,537,756.012275
9.0,1636,765.498493
