#{"t_start": 1724336003.7146597, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,520,6.547233
6.0,1684,16.824997
0.0,523,19.600895
1.0,636,23.142807
3.0,1100,29.744629
3.0,1076,36.378338
1.0,719,40.51499
9.0,1634,50.09165
3.0,863,55.165768
2.0,894,60.407664
0.0,536,63.434739
0.0,511,66.418703
4.0,1297,74.572924
1.0,631,78.434253
0.0,523,81.428474
0.0,516,84.395043
0.0,519,87.424137
3.0,1016,93.320612
4.0,1200,100.617583
0.0,528,103.528982
5.0,1426,112.043792
2.0,813,116.75142
9.0,1628,126.695449
1.0,640,130.211105
2.0,812,134.711807
0.0,541,137.571741
0.0,541,140.449968
0.0,527,143.312331
6.0,1610,153.36515
2.0,811,158.119656
0.0,524,161.140085
0.0,533,164.148935
8.0,1415,172.912326
2.0,817,177.754666
4.0,1126,184.572692
6.0,1622,194.328619
2.0,772,198.681427
5.0,1419,207.192138
6.0,1459,215.767242
0.0,529,218.557949
10.0,2146,230.865123
0.0,525,233.767185
11.0,1580,242.985652
0.0,537,245.81631
11.0,2050,257.93473
0.0,541,260.810995
10.0,1746,271.249471
0.0,541,274.029269
9.0,2103,286.133306
6.0,1524,294.949831
14.0,2413,308.991748
11.0,1854,319.657611
0.0,521,322.49023
12.0,2043,334.813536
0.0,521,337.743357
0.0,541,340.569158
12.0,2029,352.537297
9.0,1616,361.896468
15.0,2732,377.892566
0.0,537,380.7501
14.0,2024,392.731695
7.0,1664,402.466461
16.0,2203,415.698531
0.0,533,418.546016
18.0,3041,437.267112
0.0,541,440.141217
1.0,727,444.405673
11.0,1943,455.810499
20.0,2894,472.896658
10.0,1814,483.195036
0.0,517,486.026169
4.0,1180,492.955076
0.0,517,495.743021
16.0,2358,509.675445
15.0,2323,523.541962
0.0,533,526.390397
12.0,2397,540.537199
9.0,1616,550.288305
0.0,517,553.172966
0.0,524,556.056459
0.0,529,558.925625
0.0,533,561.730862
0.0,523,564.620084
0.0,537,567.507496
2.0,825,572.112544
8.0,1857,583.190469
21.0,2557,598.72414
0.0,541,601.667851
0.0,525,604.574077
17.0,2490,619.430616
17.0,2430,633.651607
0.0,537,636.493505
7.0,1599,645.661423
4.0,989,651.319191
8.0,1709,661.26476
20.0,2937,678.961571
23.0,2911,696.433949
25.0,3165,714.704287
11.0,2187,727.451555
15.0,2724,743.348067
11.0,2206,756.554955
0.0,517,759.40738
21.0,2893,776.726558
