#{"t_start": 1724336001.981961, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1113,11.965829
2.0,829,16.700241
1.0,704,20.681461
0.0,514,23.435691
1.0,632,27.127688
3.0,996,33.143193
2.0,823,38.043235
3.0,1085,44.566634
2.0,829,49.233619
0.0,535,52.023983
1.0,617,55.50374
0.0,511,58.257508
2.0,809,63.036064
0.0,536,66.102541
2.0,907,71.622169
2.0,905,77.22559
5.0,1406,86.036374
5.0,1410,94.639781
0.0,503,97.473363
0.0,525,100.425234
2.0,829,105.240826
0.0,523,108.093879
0.0,532,110.977261
9.0,1640,120.773192
2.0,808,125.533583
0.0,535,128.447209
0.0,537,131.29234
0.0,537,134.052612
0.0,527,136.751324
2.0,824,141.353099
9.0,1609,151.383501
6.0,1550,160.82583
2.0,821,165.812298
1.0,723,170.049541
0.0,543,172.952145
0.0,535,175.9558
2.0,821,180.794363
4.0,1055,187.132261
5.0,1398,195.614045
1.0,732,199.704566
4.0,1051,206.08329
4.0,1130,212.682678
5.0,1392,220.877501
10.0,1814,231.255844
16.0,2098,243.564486
0.0,529,246.428403
5.0,1486,255.218448
11.0,2316,269.08243
10.0,1754,279.262032
9.0,1632,288.623256
5.0,1341,296.243563
17.0,2879,313.046886
0.0,533,315.708603
0.0,529,318.408603
0.0,525,321.245753
9.0,1640,330.908054
16.0,2228,344.330415
0.0,541,347.109996
10.0,1728,357.351522
19.0,2640,372.983598
9.0,2022,384.685273
10.0,1752,394.870783
0.0,517,397.729382
11.0,1944,409.274499
12.0,2051,421.578879
10.0,1750,432.095225
10.0,2008,444.45626
2.0,827,449.322962
12.0,2110,461.740926
11.0,1935,472.959157
15.0,2899,489.918333
17.0,2610,505.362289
14.0,2758,522.033955
0.0,533,524.894611
12.0,2496,539.622313
0.0,525,542.398004
9.0,1616,552.147139
0.0,520,555.036895
0.0,537,557.922375
0.0,532,560.786882
0.0,515,563.605193
0.0,529,566.511398
0.0,543,569.37166
20.0,2357,583.493966
11.0,2020,595.685824
11.0,2378,610.14343
12.0,2007,622.040626
11.0,2199,634.93701
1.0,649,638.478037
5.0,1341,646.048448
15.0,2594,661.368355
18.0,2637,677.200515
12.0,2066,689.446632
0.0,521,692.27831
0.0,533,695.17788
16.0,2318,708.368929
12.0,2307,721.594842
15.0,2657,737.191855
23.0,2653,753.075824
18.0,2405,767.455364
0.0,541,770.279494
