#{"t_start": 1724336003.3839238, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,527,6.952552
0.0,512,9.802839
3.0,1054,15.967539
5.0,1510,25.078878
2.0,906,30.546918
0.0,509,33.507122
5.0,1426,42.202018
1.0,696,46.125475
4.0,1216,53.153205
1.0,704,57.123167
0.0,508,60.052773
0.0,541,63.120064
4.0,1212,70.643383
4.0,1201,78.219934
0.0,517,81.194887
5.0,1406,89.899923
0.0,516,92.699387
2.0,817,97.523938
5.0,1426,106.105446
0.0,543,109.041488
0.0,527,111.8906
5.0,1411,120.276715
2.0,796,125.000845
1.0,636,128.62502
0.0,511,131.350828
0.0,507,134.066748
4.0,1217,141.115531
0.0,539,144.008346
2.0,813,148.934999
9.0,1620,159.001047
2.0,833,163.962397
2.0,919,169.473069
1.0,711,173.631233
4.0,1192,180.891109
0.0,519,183.838192
0.0,524,186.728556
4.0,1073,193.096489
5.0,1410,201.553668
0.0,537,204.51101
5.0,1414,212.878983
5.0,1311,220.468783
6.0,1616,229.593359
0.0,517,232.428794
11.0,1876,243.362885
10.0,2032,255.427885
10.0,2103,267.952119
12.0,1876,278.937072
9.0,2321,292.442612
17.0,2904,309.40421
19.0,2327,322.881313
20.0,3116,341.770725
14.0,2293,355.443489
19.0,2957,372.941017
5.0,1259,380.092074
16.0,2208,393.239396
10.0,1738,403.523049
0.0,529,406.397374
0.0,541,409.267651
9.0,2068,421.646629
11.0,2262,435.43334
5.0,1419,444.018043
11.0,1931,455.443985
0.0,517,458.27184
14.0,2302,471.712087
9.0,1967,482.876304
0.0,533,485.627841
0.0,525,488.480643
13.0,2419,502.743175
0.0,521,505.597532
16.0,2718,521.861328
11.0,2035,533.870127
10.0,1615,543.142211
1.0,631,546.677561
9.0,1628,556.542752
0.0,533,559.40203
0.0,527,562.225303
9.0,1628,571.912367
16.0,2428,586.599817
6.0,1595,596.017799
11.0,2032,608.344436
0.0,537,611.255862
0.0,529,614.049888
9.0,1778,624.379596
15.0,2470,638.94831
12.0,1867,649.780271
16.0,2244,662.997556
0.0,521,665.903092
16.0,2650,681.844322
0.0,541,684.680847
7.0,1641,694.406891
15.0,2716,709.925035
0.0,533,712.713121
16.0,2460,727.078017
20.0,2980,744.708889
16.0,2206,758.029738
0.0,517,760.882599
12.0,1785,771.196789
