#{"t_start": 1724336001.847914, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,538,8.444228
1.0,712,12.630349
1.0,698,16.590246
0.0,511,19.438866
4.0,1210,26.636662
2.0,823,31.523236
1.0,647,35.217073
1.0,700,39.327037
3.0,873,44.430653
1.0,728,48.451834
0.0,527,51.259118
1.0,712,55.221081
2.0,824,59.825125
0.0,531,62.855826
0.0,536,65.894938
0.0,516,68.921775
0.0,516,72.022925
12.0,1728,83.123076
0.0,520,85.962715
2.0,810,90.891391
5.0,1418,99.41744
0.0,521,102.36965
0.0,511,105.239735
3.0,1001,111.195513
4.0,1201,118.278488
2.0,833,123.085211
6.0,1590,132.723892
0.0,528,135.487546
0.0,543,138.318148
2.0,801,142.927161
0.0,511,145.787672
0.0,504,148.712719
0.0,503,151.629123
0.0,524,154.596596
2.0,741,158.967678
0.0,500,161.844092
1.0,636,165.602157
0.0,535,168.564486
0.0,527,171.477275
0.0,523,174.40251
0.0,520,177.370502
0.0,531,180.254906
4.0,1280,188.164861
3.0,934,193.57718
2.0,888,198.689347
0.0,507,201.507928
4.0,1159,208.343907
5.0,1398,216.683644
0.0,521,219.504942
9.0,1820,229.872707
6.0,1463,238.322712
12.0,2012,250.229196
11.0,2022,262.210589
11.0,2125,275.026538
9.0,1636,284.228805
0.0,537,287.055088
9.0,1620,296.431152
16.0,2564,311.477452
11.0,2210,324.388426
9.0,1939,336.059008
0.0,529,338.992862
13.0,1933,350.386643
10.0,1820,360.952937
17.0,3028,378.898353
13.0,2171,391.762195
2.0,847,396.441277
0.0,537,399.309639
17.0,2424,413.948229
0.0,537,416.812888
12.0,2054,429.218828
12.0,2166,442.35403
4.0,1081,448.800901
14.0,2327,462.534969
19.0,2809,478.872715
13.0,2210,491.774228
19.0,2746,508.173592
10.0,1750,518.533439
0.0,529,521.361248
12.0,2089,533.805076
0.0,525,536.553084
15.0,2126,549.062133
0.0,543,551.997324
0.0,527,554.870475
0.0,539,557.766019
9.0,1644,567.500385
0.0,531,570.393793
10.0,2049,582.551866
0.0,529,585.49534
0.0,533,588.421428
15.0,2154,601.415261
10.0,2180,614.608883
15.0,2645,630.182508
15.0,2337,643.8541
15.0,1883,654.923481
15.0,1832,665.593725
0.0,541,668.529411
0.0,517,671.395794
13.0,2496,686.348281
29.0,3273,705.79518
12.0,2397,719.452731
9.0,1837,730.25232
27.0,3103,748.57787
14.0,2178,761.70474
16.0,2581,776.921606
