#{"t_start": 1724336003.1814258, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,717,8.438435
0.0,517,11.348363
1.0,713,15.3047
2.0,922,20.567112
0.0,500,23.340224
2.0,830,28.215621
3.0,1096,34.757499
1.0,633,38.577852
4.0,1044,44.628036
2.0,892,49.585292
0.0,501,52.356957
4.0,1324,60.178032
0.0,523,63.242972
3.0,1097,70.032733
1.0,711,74.278131
0.0,508,77.308375
0.0,515,80.331641
2.0,821,85.156624
5.0,1427,93.742594
2.0,805,98.489604
5.0,1426,107.043376
10.0,1758,117.623999
0.0,520,120.558677
5.0,1407,129.130876
2.0,776,133.370194
4.0,1204,140.382809
0.0,528,143.251513
0.0,527,146.09646
0.0,536,149.073409
0.0,527,152.094029
9.0,1628,162.146757
9.0,1620,172.307373
5.0,1498,181.569808
5.0,1272,189.395906
1.0,637,192.919594
0.0,507,195.773625
4.0,1055,201.987113
5.0,1422,210.444027
3.0,946,215.783131
10.0,2054,227.556008
12.0,2094,239.912427
0.0,521,242.714214
0.0,521,245.60165
5.0,1399,253.819931
0.0,525,256.689796
9.0,1632,266.35122
0.0,525,269.249036
0.0,537,272.114274
10.0,1728,282.021806
9.0,1640,291.373599
10.0,1758,301.553248
14.0,2310,314.851494
15.0,2088,327.142634
13.0,2211,340.566601
10.0,1752,350.799063
0.0,541,353.59335
10.0,1842,364.309314
13.0,2226,377.17956
3.0,942,382.589064
7.0,1729,392.767742
8.0,1863,403.792941
11.0,2279,417.544914
14.0,2334,431.671854
9.0,1908,443.239031
0.0,541,446.242115
11.0,1942,457.619351
0.0,541,460.397553
19.0,2243,473.457402
10.0,1758,483.338041
15.0,2154,496.120671
10.0,2189,509.119317
11.0,1942,520.607901
7.0,1752,531.105751
16.0,2202,544.046197
9.0,1620,553.878577
0.0,520,556.769843
9.0,1624,566.469226
0.0,537,569.365047
7.0,1565,578.521929
10.0,1598,588.314284
10.0,2070,600.856598
0.0,529,603.795497
16.0,2296,617.517716
8.0,1420,625.689798
17.0,2521,640.367178
11.0,2181,653.165579
0.0,533,655.886108
11.0,2182,668.937331
8.0,1634,678.512735
23.0,3189,697.589815
14.0,2525,711.9686
13.0,2781,728.293965
20.0,2879,745.331851
16.0,2470,760.188018
19.0,2638,775.916789
