#{"t_start": 1724336002.3185189, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,540,7.985434
0.0,532,10.9576
0.0,513,13.846742
3.0,1035,19.806174
1.0,708,23.81485
0.0,533,26.751034
1.0,714,30.908199
1.0,637,34.607398
1.0,629,38.25396
4.0,1210,45.477257
1.0,637,48.928123
2.0,823,53.510281
4.0,1209,60.702162
9.0,1628,71.058493
6.0,1584,81.243579
9.0,1632,91.353953
0.0,511,94.172446
2.0,821,99.014052
0.0,524,101.853493
0.0,517,104.779511
11.0,1852,115.992946
4.0,1204,123.183041
0.0,512,126.110582
0.0,536,129.010385
0.0,521,131.80331
0.0,500,134.470267
0.0,525,137.17358
5.0,1402,145.678481
2.0,891,151.107078
1.0,712,155.204957
5.0,1331,163.301778
3.0,1016,169.448835
5.0,1494,178.676777
1.0,629,182.306906
1.0,632,185.985642
6.0,1520,195.255117
2.0,929,200.635639
2.0,812,205.417864
5.0,1422,213.782383
0.0,533,216.632615
10.0,1762,226.7176
18.0,2992,244.464384
11.0,2030,256.422825
8.0,1860,267.529786
10.0,1746,277.783938
11.0,1934,288.93587
5.0,1452,297.313371
0.0,525,300.087175
9.0,1624,309.33176
0.0,541,312.080369
0.0,533,314.77227
14.0,2024,326.715269
11.0,1950,338.403672
12.0,2081,350.819038
14.0,2375,364.767669
0.0,537,367.669352
11.0,1920,378.733473
9.0,1880,389.918464
4.0,1052,395.930658
6.0,1436,404.36828
12.0,2387,418.746927
11.0,2380,433.24966
9.0,1644,443.058144
2.0,749,447.561487
0.0,537,450.391928
17.0,3179,469.179846
16.0,2333,482.681378
10.0,1804,493.316831
19.0,2628,508.852984
0.0,525,511.688525
11.0,1991,523.59827
9.0,1628,533.204285
14.0,1962,544.655674
0.0,543,547.501834
0.0,521,550.456425
9.0,1632,560.207335
9.0,1632,569.972385
0.0,529,572.741446
11.0,1926,584.320564
12.0,1302,592.103785
8.0,2021,604.232886
9.0,1753,614.684216
10.0,2156,627.237245
8.0,1781,637.54653
12.0,2048,649.479129
2.0,833,654.144236
8.0,1783,664.551278
0.0,521,667.485713
13.0,1836,678.408137
11.0,2309,692.072775
17.0,2356,705.781733
0.0,521,708.391917
15.0,2090,720.365834
17.0,2818,737.05985
24.0,1954,748.602132
23.0,2617,764.160985
16.0,1810,774.832725
0.0,541,777.704834
