#{"t_start": 1724336002.5824394, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,712,8.874647
0.0,513,11.707092
5.0,1220,18.988184
4.0,1126,25.684593
2.0,825,30.520652
2.0,916,36.006352
1.0,633,39.805519
4.0,1284,47.467466
4.0,1215,54.538615
0.0,511,57.302967
0.0,507,60.186935
0.0,527,63.177072
0.0,539,66.217914
5.0,1414,75.168431
0.0,533,78.205434
0.0,529,81.283515
0.0,517,84.238935
0.0,528,87.297029
2.0,808,92.007663
0.0,528,94.836992
9.0,1624,104.852496
0.0,537,107.775481
9.0,1640,117.580594
0.0,516,120.499054
0.0,525,123.45175
6.0,1531,132.593481
0.0,520,135.362346
0.0,517,138.216051
0.0,531,141.07758
3.0,1008,147.06215
9.0,1530,156.587771
1.0,644,160.263093
0.0,512,163.269191
6.0,1600,173.215033
1.0,649,176.908174
6.0,1450,185.962521
0.0,527,188.893938
2.0,838,193.700752
4.0,1227,200.954918
5.0,1246,208.430061
5.0,1527,217.436046
10.0,2091,229.348574
11.0,2068,241.503383
11.0,2272,254.993997
12.0,2666,271.141826
15.0,2815,287.69256
2.0,801,292.093208
20.0,2636,307.535819
11.0,1862,318.135904
10.0,1746,328.480674
0.0,541,331.384835
10.0,1820,342.290183
37.0,2893,359.428306
12.0,2035,371.583293
12.0,2379,385.417498
14.0,2194,398.455043
11.0,1851,409.507284
17.0,2232,422.987183
0.0,529,425.852378
15.0,2214,439.447665
2.0,838,444.348419
3.0,1008,450.309636
11.0,1866,461.118773
16.0,2280,474.356993
10.0,1746,484.219593
16.0,2527,499.403949
0.0,521,502.162392
0.0,525,504.992425
19.0,2969,522.970293
9.0,1945,534.479574
8.0,1708,544.421994
0.0,524,547.269325
9.0,1644,557.107587
0.0,529,559.972963
0.0,541,562.78509
0.0,532,565.683227
0.0,531,568.566373
17.0,2524,583.688591
8.0,1717,594.041192
0.0,521,596.802853
18.0,2802,613.905411
0.0,521,616.672622
14.0,2411,630.743537
4.0,1120,637.086184
21.0,2714,653.061677
23.0,2833,670.055605
12.0,2491,684.863018
17.0,2412,699.331203
0.0,541,702.017184
14.0,1974,713.042923
0.0,537,715.821102
11.0,2368,729.749631
21.0,2541,744.651393
13.0,2333,758.688048
