#{"t_start": 1724336002.850605, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,534,7.464252
0.0,533,10.434971
5.0,1324,18.297725
0.0,513,21.102207
1.0,704,25.19783
3.0,1102,31.943013
0.0,528,34.860713
1.0,640,38.666168
3.0,922,44.09577
3.0,1094,50.440274
4.0,1200,57.475317
1.0,705,61.588909
0.0,528,64.547842
0.0,524,67.594654
4.0,1200,75.233913
0.0,529,78.336964
4.0,1216,85.729573
0.0,515,88.752497
2.0,829,93.483704
0.0,519,96.35831
2.0,809,101.114895
0.0,508,104.016355
9.0,1519,113.275361
0.0,525,116.10552
0.0,528,119.004996
3.0,998,124.980281
6.0,1598,134.405344
10.0,1748,144.879678
0.0,537,147.90486
2.0,808,152.757928
0.0,537,155.697987
0.0,536,158.665597
0.0,507,161.565628
0.0,508,164.483747
5.0,1414,173.217369
5.0,1402,181.890708
2.0,816,186.742881
1.0,700,190.818237
4.0,1141,197.46473
2.0,825,202.299736
10.0,1756,212.762496
1.0,642,216.28804
5.0,1414,224.370797
13.0,2656,239.966873
10.0,1824,250.704286
5.0,1414,258.989356
9.0,1640,268.70591
0.0,529,271.590943
21.0,2675,287.12322
7.0,1547,296.149031
0.0,521,298.909935
0.0,529,301.64097
0.0,533,304.312556
11.0,1934,315.487495
13.0,1836,326.296332
0.0,533,329.186962
13.0,2211,342.505973
12.0,2245,355.735116
0.0,537,358.472771
9.0,1624,368.122864
13.0,2257,381.111424
0.0,533,383.949302
5.0,1423,392.203525
8.0,1225,399.223964
12.0,2134,411.995944
0.0,525,414.849211
16.0,2089,427.466609
21.0,2389,442.103945
0.0,527,445.187121
5.0,1410,453.486602
12.0,2469,467.956939
15.0,2459,482.211065
15.0,2208,495.295392
14.0,1936,506.72405
9.0,1408,515.011359
15.0,2141,527.930155
16.0,2466,542.424002
0.0,537,545.22762
0.0,540,548.12238
0.0,537,551.050587
0.0,532,553.931456
9.0,1640,563.669979
9.0,1620,573.315761
19.0,2620,589.280943
17.0,2392,603.712986
11.0,2296,617.365793
15.0,2142,629.981517
0.0,517,632.744624
2.0,768,636.977198
16.0,2350,650.68213
19.0,2656,666.598301
17.0,2458,681.309178
0.0,521,684.108393
10.0,2089,696.489094
16.0,1718,706.263303
14.0,2696,721.802618
0.0,521,724.615925
0.0,521,727.398984
0.0,525,730.272822
25.0,3156,748.88308
0.0,521,751.667251
0.0,533,754.537099
16.0,1900,765.640624
