#{"t_start": 1724336002.983739, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1005,10.470391
0.0,499,13.309363
2.0,812,17.896882
2.0,914,23.129123
0.0,524,26.139803
0.0,528,29.058497
0.0,513,31.976744
3.0,1061,38.500626
5.0,1414,46.972648
2.0,892,52.035122
0.0,523,54.932671
1.0,638,58.388134
0.0,532,61.429198
0.0,520,64.449383
2.0,809,69.445357
0.0,527,72.515357
0.0,525,75.601193
9.0,1620,85.878056
5.0,1414,94.410977
0.0,527,97.341309
0.0,512,100.171585
0.0,521,103.135144
0.0,541,106.047408
0.0,520,108.946113
0.0,511,111.780659
5.0,1426,120.236097
0.0,507,123.136648
0.0,507,126.042033
0.0,523,128.94645
1.0,716,132.793551
0.0,527,135.546129
0.0,516,138.364089
3.0,916,143.734085
5.0,1404,152.4188
1.0,633,155.972022
2.0,821,160.830322
0.0,528,163.884553
0.0,521,166.922098
0.0,517,169.798831
0.0,500,172.638772
0.0,532,175.612483
1.0,704,179.693998
3.0,1018,185.881584
0.0,508,188.734126
0.0,516,191.658408
2.0,809,196.373477
4.0,1123,203.09091
5.0,1398,211.496934
6.0,1512,220.395947
9.0,1640,229.597261
10.0,1446,237.936541
11.0,1970,249.475974
0.0,517,252.291078
13.0,2289,265.943545
0.0,525,268.837545
11.0,2187,281.63396
4.0,1127,288.07178
11.0,1871,298.945639
6.0,1538,307.603699
0.0,525,310.40001
0.0,529,313.130099
9.0,1903,324.260838
7.0,1712,334.519215
15.0,2322,348.466841
14.0,2028,360.367895
0.0,529,363.204672
16.0,2618,378.494838
0.0,525,381.336731
7.0,1555,390.401756
2.0,921,395.554226
1.0,739,399.591463
0.0,525,402.404038
10.0,2223,415.712942
11.0,1946,427.305683
11.0,1930,439.056924
0.0,533,441.913988
0.0,527,444.985226
0.0,529,447.872782
13.0,2312,461.455865
15.0,2357,475.179918
12.0,1959,486.41234
15.0,2835,503.348119
11.0,2265,516.954774
12.0,2368,531.296381
18.0,2252,544.546381
0.0,541,547.427125
0.0,516,550.363151
0.0,523,553.233662
9.0,1628,562.967372
10.0,1734,573.342028
9.0,1855,584.590326
0.0,533,587.529355
0.0,537,590.478452
8.0,1827,601.391583
0.0,525,604.301224
17.0,2886,621.620116
14.0,2184,634.295079
18.0,2749,650.39103
4.0,1123,656.81339
18.0,2871,674.208629
9.0,1820,684.939034
12.0,2256,698.394656
18.0,2445,712.229581
11.0,2292,725.562595
18.0,2968,742.968937
13.0,1931,754.618255
19.0,2644,770.390564
0.0,517,773.224824
