#{"t_start": 1724336001.9142015, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,698,9.659861
2.0,810,14.364118
0.0,527,17.195322
1.0,700,21.183232
0.0,515,23.945464
2.0,824,28.863373
0.0,512,31.77175
0.0,524,34.748841
3.0,888,40.086035
2.0,895,45.260092
1.0,701,49.171708
0.0,512,51.902893
1.0,640,55.447828
1.0,712,59.365007
0.0,532,62.406188
2.0,809,67.356901
0.0,541,70.407682
0.0,527,73.438225
5.0,1403,82.422537
0.0,512,85.261223
0.0,517,88.323221
0.0,531,91.251485
5.0,1406,99.809616
9.0,1636,109.753294
0.0,536,112.640278
2.0,809,117.316912
4.0,1284,125.135422
1.0,715,129.218148
0.0,523,131.971239
6.0,1475,140.586669
2.0,817,145.339481
2.0,817,150.248535
0.0,525,153.266086
0.0,517,156.226691
3.0,1027,162.401119
2.0,833,167.379974
0.0,517,170.383797
3.0,1026,176.487807
6.0,1504,185.820518
2.0,784,190.356569
5.0,1384,198.667403
10.0,1883,210.126194
0.0,533,212.947575
8.0,2014,224.627632
8.0,1930,235.819654
6.0,1516,244.645587
10.0,2109,257.279551
9.0,1620,266.930691
0.0,525,269.820799
10.0,2148,282.218602
5.0,1235,289.302233
0.0,529,291.976699
8.0,1931,303.348542
10.0,1812,313.798575
12.0,2170,326.376979
10.0,1818,337.286334
0.0,529,340.209619
12.0,2209,353.253734
11.0,1955,364.622757
12.0,2067,376.586309
0.0,517,379.336914
5.0,1419,387.638019
10.0,1824,398.354411
15.0,2583,413.824857
15.0,2443,428.734348
10.0,1756,439.260824
3.0,1006,445.38175
2.0,908,450.6429
15.0,2138,463.251547
12.0,1831,473.719929
13.0,2647,489.056547
17.0,2513,503.962884
0.0,529,506.806839
0.0,517,509.665949
22.0,2878,527.129827
11.0,2200,540.105544
4.0,1003,545.795938
0.0,525,548.679511
9.0,1620,558.543401
0.0,543,561.373973
0.0,532,564.241366
0.0,541,567.123212
0.0,537,570.008437
7.0,1500,578.839439
0.0,529,581.677741
19.0,2729,598.327813
11.0,2214,611.819865
9.0,1973,623.381512
10.0,2249,636.555121
14.0,2058,648.476284
0.0,541,651.278942
17.0,2328,665.081908
20.0,2903,682.673175
21.0,2745,698.994449
22.0,2689,714.394746
13.0,2186,727.048222
19.0,3423,747.327905
16.0,2465,762.070779
