#{"t_start": 1724336003.3174002, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,629,7.760477
3.0,1020,13.69877
1.0,709,17.672569
2.0,816,22.404553
0.0,494,25.240033
0.0,523,28.232661
1.0,713,32.386079
0.0,524,35.289934
1.0,719,39.551691
1.0,644,43.099674
5.0,1422,51.409186
0.0,536,54.278958
3.0,1096,60.701037
1.0,712,64.908238
0.0,527,67.958784
2.0,748,72.52874
0.0,532,75.603418
0.0,517,78.733849
2.0,829,83.580586
0.0,517,86.643806
4.0,1217,93.794825
0.0,517,96.640364
0.0,525,99.596568
2.0,834,104.419463
5.0,1426,112.899722
0.0,536,115.676285
4.0,1205,122.936953
5.0,1412,131.273821
0.0,528,133.916405
10.0,1738,144.467537
9.0,1644,154.62302
2.0,821,159.452701
6.0,1612,169.578601
4.0,1213,176.908411
0.0,515,179.85689
2.0,819,184.703783
2.0,839,189.625647
10.0,1826,200.660036
0.0,519,203.529223
9.0,1640,213.26123
9.0,1620,222.680372
14.0,2032,234.476641
5.0,1328,242.046263
6.0,1534,251.090502
22.0,2882,268.589077
11.0,2343,282.212888
0.0,537,285.002579
6.0,1460,293.380456
16.0,2568,308.35171
24.0,3145,326.842098
0.0,537,329.742032
3.0,1024,335.7375
16.0,2422,350.233495
16.0,2570,365.568091
0.0,529,368.376125
15.0,2162,380.801444
11.0,2339,394.721977
4.0,1136,401.314863
14.0,2190,414.448416
0.0,517,417.322044
8.0,1934,428.962655
12.0,2094,441.776834
0.0,519,444.871955
12.0,2065,456.931859
13.0,2076,469.093376
14.0,2040,480.851207
13.0,2545,495.903244
11.0,2326,509.739585
8.0,1870,520.856862
9.0,1966,532.477992
13.0,1848,543.236552
1.0,712,547.21939
0.0,532,550.156839
9.0,1632,559.91543
0.0,539,562.775695
0.0,535,565.661789
0.0,541,568.54502
0.0,517,571.338504
7.0,1721,581.64578
23.0,2805,598.879727
0.0,541,601.826381
0.0,517,604.724108
0.0,533,607.569826
0.0,521,610.480861
0.0,537,613.295874
15.0,2154,625.919426
17.0,2316,639.40998
10.0,1955,650.730752
17.0,2336,664.483386
0.0,521,667.412337
0.0,521,670.312622
0.0,529,673.127904
19.0,2820,689.909403
0.0,537,692.794822
17.0,2418,706.763291
17.0,2330,720.277184
17.0,2788,736.682614
16.0,2453,751.347075
8.0,1748,761.736662
