#{"t_start": 1724336003.0499978, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,821,9.152139
0.0,516,12.032886
0.0,519,14.881153
0.0,525,17.754703
4.0,1202,24.935037
2.0,898,30.290658
1.0,708,34.521288
2.0,817,39.468725
3.0,1016,45.356366
2.0,907,50.445184
1.0,720,54.49238
0.0,509,57.231446
1.0,717,61.419155
0.0,509,64.389627
6.0,1534,74.079156
1.0,717,78.37911
4.0,1206,85.777753
0.0,515,88.789946
9.0,1640,98.712778
5.0,1422,107.26312
9.0,1640,117.058511
0.0,519,119.942235
0.0,516,122.799307
0.0,524,125.692361
0.0,531,128.556639
0.0,524,131.287086
9.0,1636,140.870329
2.0,810,145.675257
7.0,1814,156.982039
2.0,912,162.505728
3.0,993,168.646527
0.0,501,171.419543
5.0,1332,179.504682
1.0,708,183.67959
1.0,716,187.795846
6.0,1335,195.688105
3.0,950,201.234472
2.0,736,205.521023
0.0,525,208.404397
5.0,1419,216.726459
6.0,1591,225.801941
12.0,2076,237.924158
8.0,1754,248.167536
9.0,1628,257.773045
0.0,537,260.608823
6.0,1536,269.737777
12.0,1955,281.102112
10.0,2003,292.678438
16.0,3064,310.645784
11.0,2090,322.791437
14.0,1954,334.482722
18.0,2564,349.902174
14.0,1954,361.305809
0.0,525,364.173985
0.0,533,367.07526
0.0,525,369.842652
19.0,2572,384.986142
0.0,525,387.745463
13.0,2295,401.307921
12.0,2617,417.044627
16.0,2257,430.786919
0.0,521,433.707299
0.0,525,436.579656
5.0,1296,444.439864
4.0,1208,451.559985
10.0,1728,461.659449
11.0,1867,472.396113
0.0,529,475.169163
0.0,517,477.916201
12.0,2126,490.287622
15.0,2570,505.560305
11.0,2233,518.947978
14.0,2032,531.129494
15.0,2124,543.538213
0.0,529,546.376911
0.0,525,549.314162
9.0,1636,559.088442
9.0,1644,568.80267
7.0,1594,578.052644
11.0,2106,590.935463
21.0,2545,606.362679
11.0,2246,619.680506
0.0,525,622.499889
0.0,521,625.259834
13.0,2148,637.942478
0.0,525,640.654102
14.0,2028,652.571229
19.0,2570,667.930435
27.0,3300,687.783623
23.0,3170,706.454278
16.0,2258,719.48461
11.0,2186,732.461188
20.0,2679,748.391896
0.0,529,751.179896
0.0,517,754.044128
0.0,529,756.904749
32.0,2860,774.022064
