#{"t_start": 1724336003.648694, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,804,8.568165
4.0,1200,15.664534
1.0,720,19.729145
2.0,886,25.001465
0.0,511,27.942364
4.0,1307,35.907281
0.0,527,38.953745
0.0,524,41.737746
0.0,524,44.634899
3.0,1019,50.306995
3.0,1006,56.269609
1.0,620,59.889376
5.0,1407,68.652684
0.0,540,71.746954
0.0,535,74.828045
0.0,533,77.929918
2.0,821,82.822883
5.0,1418,91.444774
3.0,1009,97.52248
0.0,511,100.364704
2.0,833,105.143215
5.0,1419,113.6161
2.0,821,118.373965
0.0,535,121.327759
10.0,1838,132.294219
9.0,1636,141.97819
1.0,629,145.641224
1.0,711,149.795465
5.0,1414,158.422987
1.0,705,162.636717
9.0,1895,174.463789
0.0,508,177.388123
2.0,892,182.674106
9.0,1519,192.020066
9.0,1616,201.861962
9.0,1620,211.601503
0.0,537,214.482733
10.0,1838,224.999613
10.0,2155,237.587676
14.0,2903,254.886306
10.0,1822,265.732553
9.0,2133,278.35164
22.0,2691,294.02963
13.0,2300,307.341501
7.0,1649,316.654691
11.0,2288,330.453498
9.0,2188,343.669176
10.0,2220,356.781631
19.0,2231,370.052291
9.0,1967,381.411311
14.0,2291,394.902086
0.0,537,397.738554
12.0,1994,409.709278
0.0,525,412.562874
17.0,2342,426.768161
0.0,537,429.677895
9.0,1935,441.409577
0.0,530,444.504493
16.0,2318,458.201234
12.0,2084,470.250735
11.0,1859,480.950151
13.0,2819,497.618404
23.0,2958,515.258292
0.0,541,518.150867
16.0,2311,532.024061
16.0,2318,545.621989
9.0,1640,555.432208
9.0,1624,565.167244
0.0,517,568.040991
6.0,1485,576.628511
7.0,1514,585.670045
9.0,2022,597.785722
0.0,537,600.739328
14.0,2056,613.047963
0.0,533,615.81984
11.0,2249,628.993971
31.0,3636,650.549318
0.0,533,653.376655
14.0,1984,664.987429
14.0,2482,679.866225
19.0,2734,696.237746
17.0,2719,711.721616
0.0,541,714.494302
26.0,2585,729.731758
24.0,2885,746.838623
10.0,2167,759.757424
0.0,521,762.514469
