#{"t_start": 1724336001.7136407, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,511,8.505077
1.0,732,12.796614
0.0,543,15.648768
3.0,1011,21.612307
1.0,695,25.65624
0.0,519,28.598679
3.0,1004,34.697476
0.0,521,37.635347
5.0,1322,45.75706
4.0,1136,52.316144
0.0,543,55.190948
1.0,641,58.659958
2.0,811,63.496017
1.0,723,67.793411
5.0,1313,76.163553
0.0,537,79.253057
0.0,528,82.211588
5.0,1402,90.933167
0.0,524,93.72412
2.0,813,98.510398
5.0,1403,107.090187
2.0,819,111.784415
0.0,493,114.519314
0.0,512,117.305345
2.0,833,122.12741
0.0,509,125.027487
0.0,515,127.933415
0.0,521,130.786116
0.0,541,133.549399
2.0,827,138.065384
3.0,936,143.446895
0.0,516,146.339367
5.0,1422,155.088577
3.0,949,160.686106
0.0,519,163.655555
3.0,923,169.351598
4.0,1051,175.626943
0.0,528,178.545428
3.0,904,183.98826
0.0,515,187.001147
2.0,743,191.326851
0.0,536,194.188607
2.0,824,198.851752
3.0,945,204.32179
7.0,1787,215.065552
10.0,1748,225.116382
0.0,533,227.82793
5.0,1398,235.98632
17.0,2862,252.917606
9.0,1616,262.55327
6.0,1622,272.210293
15.0,2470,286.508615
10.0,1736,296.589707
10.0,1666,306.158685
17.0,2738,322.190123
14.0,2412,336.755144
4.0,1234,344.005911
9.0,1628,353.537627
12.0,2164,366.21203
12.0,2125,378.567908
9.0,1628,388.106858
8.0,1800,398.659861
4.0,1076,404.765521
11.0,1942,416.414088
10.0,1839,427.458558
0.0,525,430.365353
0.0,541,433.286366
9.0,1976,445.481499
1.0,637,449.09792
0.0,541,451.92813
0.0,529,454.718395
17.0,2556,469.619086
18.0,2717,485.224006
12.0,2190,498.181643
18.0,2526,513.332145
12.0,2121,526.008511
18.0,2625,541.480036
0.0,517,544.31972
0.0,541,547.143086
0.0,539,550.055526
9.0,1640,559.851178
0.0,536,562.67363
0.0,520,565.561829
0.0,523,568.434458
17.0,2506,583.510202
19.0,2681,599.95737
16.0,2485,615.033405
19.0,2653,630.522547
11.0,2032,642.331505
17.0,2418,656.622525
0.0,533,659.381057
14.0,2768,676.171597
19.0,2955,693.724761
18.0,2813,710.043742
12.0,2459,724.415627
0.0,537,727.221468
0.0,525,730.059121
17.0,2440,744.197557
11.0,2438,758.969623
10.0,2175,771.841243
